"","id","symbol","seqnames","strand","TSS","CAGE_representative_TSS","type"
"42","ENSG00000081479","LRP2","chr2","-",170219195,170219044,"protein_coding"
"43","ENSG00000103657","HERC1","chr15","-",64126141,64126147,"protein_coding"
"44","ENSG00000137076","TLN1","chr9","-",35732392,35732186,"protein_coding"
"45","ENSG00000100888","CHD8","chr14","-",21924285,21924271,"protein_coding"
"46","ENSG00000124177","CHD6","chr20","-",40247133,40247012,"protein_coding"
"47","ENSG00000047410","TPR","chr1","-",186344825,186344385,"protein_coding"
"48","ENSG00000171634","BPTF","chr17","+",65821640,65821619,"protein_coding"
"49","ENSG00000150995","ITPR1","chr3","+",4535032,4535032,"protein_coding"
"50","ENSG00000204469","PRRC2A","chr6","+",31588497,31588492,"protein_coding"
"51","ENSG00000157388","CACNA1D","chr3","+",53528683,53528697,"protein_coding"
"52","ENSG00000186472","PCLO","chr7","-",82792246,82792200,"protein_coding"
"53","ENSG00000204120","GIGYF2","chr2","+",233562009,233562041,"protein_coding"
"54","ENSG00000124486","USP9X","chrX","+",40944888,40944698,"protein_coding"
"55","ENSG00000117523","PRRC2C","chr1","+",171454690,171454689,"protein_coding"
"56","ENSG00000133958","UNC79","chr14","+",93799565,93897074,"protein_coding"
"57","ENSG00000197386","HTT","chr4","+",3076408,3076417,"protein_coding"
"58","ENSG00000198265","HELZ","chr17","-",65242105,65241294,"protein_coding"
"59","ENSG00000171988","JMJD1C","chr10","-",65281610,65028974,"protein_coding"
"60","ENSG00000054523","KIF1B","chr1","+",10270863,10270628,"protein_coding"
"61","ENSG00000073910","FRY","chr13","+",32605437,32605914,"protein_coding"
"62","ENSG00000029534","ANK1","chr8","-",41754280,41655140,"protein_coding"
"63","ENSG00000115306","SPTBN1","chr2","+",54683422,54683464,"protein_coding"
"64","ENSG00000108510","MED13","chr17","-",60142643,60142637,"protein_coding"
"65","ENSG00000095564","BTAF1","chr10","+",93683526,93683552,"protein_coding"
"66","ENSG00000131503","ANKHD1","chr5","+",139781399,139781418,"protein_coding"
"67","ENSG00000114867","EIF4G1","chr3","+",184032283,184032394,"protein_coding"
"68","ENSG00000100345","MYH9","chr22","-",36784063,36784012,"protein_coding"
"69","ENSG00000109111","SUPT6H","chr17","+",26989109,26989223,"protein_coding"
"70","ENSG00000204262","COL5A2","chr2","-",190044605,190044487,"protein_coding"
"71","ENSG00000183495","EP400","chr12","+",132434465,132434509,"protein_coding"
"72","ENSG00000153207","AHCTF1","chr1","-",247095280,247095226,"protein_coding"
"73","ENSG00000164327","RICTOR","chr5","-",39074510,39074501,"protein_coding"
"74","ENSG00000140836","ZFHX3","chr16","-",73093597,73092920,"protein_coding"
"75","ENSG00000171587","DSCAM","chr21","-",42219065,42219084,"protein_coding"
"76","ENSG00000128908","INO80","chr15","-",41408552,41408442,"protein_coding"
"77","ENSG00000198947","DMD","chrX","-",33357558,31285069,"protein_coding"
"78","ENSG00000141837","CACNA1A","chr19","-",13734804,13617283,"protein_coding"
"79","ENSG00000138246","DNAJC13","chr3","+",132136370,132136360,"protein_coding"
"80","ENSG00000132466","ANKRD17","chr4","-",74124515,74124515,"protein_coding"
"81","ENSG00000174197","MGA","chr15","+",41913422,41952629,"protein_coding"
"82","ENSG00000198752","CDC42BPB","chr14","-",103523799,103523863,"protein_coding"
"83","ENSG00000133858","ZFC3H1","chr12","-",72061505,72057627,"protein_coding"
"84","ENSG00000107581","EIF3A","chr10","-",120840335,120840329,"protein_coding"
"85","ENSG00000144285","SCN1A","chr2","-",166984557,166984525,"protein_coding"
"86","ENSG00000108055","SMC3","chr10","+",112327449,112327453,"protein_coding"
"87","ENSG00000112159","MDN1","chr6","-",90529442,90529462,"protein_coding"
"88","ENSG00000130816","DNMT1","chr19","-",10341962,10305599,"protein_coding"
"89","ENSG00000104093","DMXL2","chr15","-",51915030,51914962,"protein_coding"
"90","ENSG00000060237","WNK1","chr12","+",861759,861745,"protein_coding"
"91","ENSG00000153922","CHD1","chr5","-",98264661,98264636,"protein_coding"
"92","ENSG00000141027","NCOR1","chr17","-",16121499,16118848,"protein_coding"
"93","ENSG00000174231","PRPF8","chr17","-",1588176,1588131,"protein_coding"
"94","ENSG00000165671","NSD1","chr5","+",176560026,176560790,"protein_coding"
"95","ENSG00000134744","ZCCHC11","chr1","-",53019159,53018764,"protein_coding"
"96","ENSG00000120733","KDM3B","chr5","+",137688285,137688409,"protein_coding"
"97","ENSG00000108821","COL1A1","chr17","-",48278993,48278992,"protein_coding"
"98","ENSG00000101596","SMCHD1","chr18","+",2655737,2655725,"protein_coding"
"99","ENSG00000184634","MED12","chrX","+",70338406,70338446,"protein_coding"
"100","ENSG00000123066","MED13L","chr12","-",116715143,116715492,"protein_coding"
"101","ENSG00000153201","RANBP2","chr2","+",109335937,109335938,"protein_coding"
"102","ENSG00000162402","USP24","chr1","-",55680786,55681035,"protein_coding"
"103","ENSG00000187555","USP7","chr16","-",9058371,9057739,"protein_coding"
"104","ENSG00000148143","ZNF462","chr9","+",109625378,109625447,"protein_coding"
"105","ENSG00000168542","COL3A1","chr2","+",189839046,189839099,"protein_coding"
"106","ENSG00000111642","CHD4","chr12","-",6716642,6716544,"protein_coding"
"107","ENSG00000196159","FAT4","chr4","+",126237554,126237554,"protein_coding"
"108","ENSG00000127616","SMARCA4","chr19","+",11071677,11071706,"protein_coding"
"109","ENSG00000122218","COPA","chr1","-",160313190,160313037,"protein_coding"
"110","ENSG00000175216","CKAP5","chr11","-",46867859,46867829,"protein_coding"
"111","ENSG00000080345","RIF1","chr2","+",152266397,152266416,"protein_coding"
"112","ENSG00000170832","USP32","chr17","-",58499831,58469491,"protein_coding"
"113","ENSG00000080603","SRCAP","chr16","+",30709530,30709517,"protein_coding"
"114","ENSG00000068878","PSME4","chr2","-",54197977,54198153,"protein_coding"
"115","ENSG00000117713","ARID1A","chr1","+",27022524,27022520,"protein_coding"
"116","ENSG00000165288","BRWD3","chrX","-",80065187,80065219,"protein_coding"
"117","ENSG00000164796","CSMD3","chr8","-",114449328,114449168,"protein_coding"
"118","ENSG00000170004","CHD3","chr17","+",7788124,7788114,"protein_coding"
"119","ENSG00000116254","CHD5","chr1","-",6240183,6240371,"protein_coding"
"120","ENSG00000005483","KMT2E","chr7","+",104654626,104654652,"protein_coding"
"121","ENSG00000148400","NOTCH1","chr9","-",139440314,139440500,"protein_coding"
"122","ENSG00000141367","CLTC","chr17","+",57697050,57697266,"protein_coding"
"123","ENSG00000134250","NOTCH2","chr1","-",120612240,120612271,"protein_coding"
"124","ENSG00000119285","HEATR1","chr1","-",236767804,236767788,"protein_coding"
"125","ENSG00000153253","SCN3A","chr2","-",166060577,166060560,"protein_coding"
"126","ENSG00000075539","FRYL","chr4","-",48782339,48782288,"protein_coding"
"127","ENSG00000136531","SCN2A","chr2","+",166095912,166095924,"protein_coding"
"128","ENSG00000164061","BSN","chr3","+",49591922,49591927,"protein_coding"
"129","ENSG00000138829","FBN2","chr5","-",127994878,127873938,"protein_coding"
"130","ENSG00000061676","NCKAP1","chr2","-",183903586,183903145,"protein_coding"
"131","ENSG00000134318","ROCK2","chr2","-",11488456,11484762,"protein_coding"
"132","ENSG00000139613","SMARCC2","chr12","-",56583351,56583257,"protein_coding"
"133","ENSG00000074054","CLASP1","chr2","-",122407163,122407038,"protein_coding"
"134","ENSG00000196924","FLNA","chrX","-",153603006,153599585,"protein_coding"
"135","ENSG00000163939","PBRM1","chr3","-",52719933,52719929,"protein_coding"
"136","ENSG00000132972","RNF17","chr13","+",25338290,25338309,"protein_coding"
"137","ENSG00000135829","DHX9","chr1","+",182808504,182808482,"protein_coding"
"138","ENSG00000139219","COL2A1","chr12","-",48398269,48398259,"protein_coding"
"139","ENSG00000134369","NAV1","chr1","+",201592013,201709028,"protein_coding"
"140","ENSG00000075420","FNDC3B","chr3","+",171757418,171757409,"protein_coding"
"141","ENSG00000083168","KAT6A","chr8","-",41909508,41909505,"protein_coding"
"142","ENSG00000139697","SBNO1","chr12","-",123849390,123849384,"protein_coding"
"143","ENSG00000091157","WDR7","chr18","+",54318574,54318594,"protein_coding"
"144","ENSG00000103197","TSC2","chr16","+",2097466,2097986,"protein_coding"
"145","ENSG00000141564","RPTOR","chr17","+",78518619,78518646,"protein_coding"
"146","ENSG00000085224","ATRX","chrX","-",77041755,77041702,"protein_coding"
"147","ENSG00000104067","TJP1","chr15","-",30261068,30114662,"protein_coding"
"148","ENSG00000153707","PTPRD","chr9","-",10612723,8857867,"protein_coding"
"149","ENSG00000187498","COL4A1","chr13","-",110959496,110959504,"protein_coding"
"150","ENSG00000213079","SCAF8","chr6","+",155054459,155054550,"protein_coding"
"151","ENSG00000110713","NUP98","chr11","-",3819022,3818784,"protein_coding"
"152","ENSG00000174373","RALGAPA1","chr14","-",36278510,36278481,"protein_coding"
"153","ENSG00000088812","ATRN","chr20","+",3451687,3451686,"protein_coding"
"154","ENSG00000205726","ITSN1","chr21","+",35014706,35014848,"protein_coding"
"155","ENSG00000115524","SF3B1","chr2","-",198299815,198299752,"protein_coding"
"156","ENSG00000138834","MAPK8IP3","chr16","+",1756184,1756196,"protein_coding"
"157","ENSG00000119707","RBM25","chr14","+",73525144,73525242,"protein_coding"
"158","ENSG00000170921","TANC2","chr17","+",61086917,61271378,"protein_coding"
"159","ENSG00000004534","RBM6","chr3","+",49977440,49977585,"protein_coding"
"160","ENSG00000048649","RSF1","chr11","-",77532063,77531768,"protein_coding"
"161","ENSG00000115355","CCDC88A","chr2","-",55647057,55646973,"protein_coding"
"162","ENSG00000170471","RALGAPB","chr20","+",37101459,37101490,"protein_coding"
"163","ENSG00000171735","CAMTA1","chr1","+",6845384,6845514,"protein_coding"
"164","ENSG00000173120","KDM2A","chr11","+",66886740,66886734,"protein_coding"
"165","ENSG00000169862","CTNND2","chr5","-",11904155,11385049,"protein_coding"
"166","ENSG00000169710","FASN","chr17","-",80056208,80056111,"protein_coding"
"167","ENSG00000146247","PHIP","chr6","-",79787953,79787936,"protein_coding"
"168","ENSG00000176208","ATAD5","chr17","+",29158988,29158988,"protein_coding"
"169","ENSG00000198838","RYR3","chr15","+",33603146,33603168,"protein_coding"
"170","ENSG00000181222","POLR2A","chr17","+",7387685,7387685,"protein_coding"
"171","ENSG00000091009","RBM27","chr5","+",145583163,145583168,"protein_coding"
"172","ENSG00000169375","SIN3A","chr15","-",75748183,75744031,"protein_coding"
"173","ENSG00000124198","ARFGEF2","chr20","+",47538427,47538265,"protein_coding"
"174","ENSG00000136813","KIAA0368","chr9","-",114247025,114246663,"protein_coding"
"175","ENSG00000198626","RYR2","chr1","+",237205505,237205484,"protein_coding"
"176","ENSG00000100150","DEPDC5","chr22","+",32149937,32150011,"protein_coding"
"177","ENSG00000163781","TOPBP1","chr3","-",133380737,133380765,"protein_coding"
"178","ENSG00000146463","ZMYM4","chr1","+",35734568,35734310,"protein_coding"
"179","ENSG00000177200","CHD9","chr16","+",53088945,53088903,"protein_coding"
"180","ENSG00000090905","TNRC6A","chr16","+",24741016,24741031,"protein_coding"
"181","ENSG00000134982","APC","chr5","+",112043195,112073585,"protein_coding"
"182","ENSG00000156650","KAT6B","chr10","+",76585340,76586358,"protein_coding"
"183","ENSG00000214655","ZSWIM8","chr10","+",75545340,75545364,"protein_coding"
"184","ENSG00000125676","THOC2","chrX","-",122866906,122866896,"protein_coding"
"185","ENSG00000135476","ESPL1","chr12","+",53662083,53662083,"protein_coding"
"186","ENSG00000159140","SON","chr21","+",34914924,34915379,"protein_coding"
"187","ENSG00000118007","STAG1","chr3","-",136471245,136471220,"protein_coding"
"188","ENSG00000066777","ARFGEF1","chr8","-",68255912,68256016,"protein_coding"
"189","ENSG00000075151","EIF4G3","chr1","-",21503381,21503390,"protein_coding"
"190","ENSG00000181090","EHMT1","chr9","+",140513415,140513463,"protein_coding"
"191","ENSG00000083896","YTHDC1","chr4","-",69215807,69215775,"protein_coding"
"192","ENSG00000115904","SOS1","chr2","-",39351486,39348176,"protein_coding"
"193","ENSG00000002746","HECW1","chr7","+",43152198,43152246,"protein_coding"
"194","ENSG00000134516","DOCK2","chr5","+",169064251,169064279,"protein_coding"
"195","ENSG00000024048","UBR2","chr6","+",42531800,42531767,"protein_coding"
"196","ENSG00000170242","USP47","chr11","+",11862970,11863522,"protein_coding"
"197","ENSG00000131626","PPFIA1","chr11","+",70116806,70116842,"protein_coding"
"198","ENSG00000165494","PCF11","chr11","+",82868030,82868197,"protein_coding"
"199","ENSG00000143569","UBAP2L","chr1","+",154192655,154193434,"protein_coding"
"200","ENSG00000165219","GAPVD1","chr9","+",128024073,128024105,"protein_coding"
"201","ENSG00000117000","RLF","chr1","+",40627045,40627059,"protein_coding"
"202","ENSG00000153147","SMARCA5","chr4","+",144434616,144434855,"protein_coding"
"203","ENSG00000196712","NF1","chr17","+",29421945,29421995,"protein_coding"
"204","ENSG00000151240","DIP2C","chr10","-",735608,735608,"protein_coding"
"205","ENSG00000139687","RB1","chr13","+",48877887,48878016,"protein_coding"
"206","ENSG00000167522","ANKRD11","chr16","-",89556969,89556969,"protein_coding"
"207","ENSG00000165323","FAT3","chr11","+",92085262,92616202,"protein_coding"
"208","ENSG00000101972","STAG2","chrX","+",123094062,123095588,"protein_coding"
"209","ENSG00000185010","F8","chrX","-",154255215,154250998,"protein_coding"
"210","ENSG00000146872","TLK2","chr17","+",60536019,60536023,"protein_coding"
"211","ENSG00000100354","TNRC6B","chr22","+",40440821,40440838,"protein_coding"
"212","ENSG00000011454","RABGAP1","chr9","+",125703112,125703299,"protein_coding"
"213","ENSG00000023287","RB1CC1","chr8","-",53658403,53626995,"protein_coding"
"214","ENSG00000137807","KIF23","chr15","+",69706585,69706688,"protein_coding"
"215","ENSG00000197555","SIPA1L1","chr14","+",71787166,71787193,"protein_coding"
"216","ENSG00000198604","BAZ1A","chr14","-",35344853,35344545,"protein_coding"
"217","ENSG00000130749","ZC3H4","chr19","-",47617009,47615511,"protein_coding"
"218","ENSG00000204569","PPP1R10","chr6","-",30586389,30585020,"protein_coding"
"219","ENSG00000161681","SHANK1","chr19","-",51222707,51223059,"protein_coding"
"220","ENSG00000147133","TAF1","chrX","+",70586089,70586210,"protein_coding"
"221","ENSG00000070182","SPTB","chr14","-",65346601,65346625,"protein_coding"
"222","ENSG00000153339","TRAPPC8","chr18","-",29533099,29523091,"protein_coding"
"223","ENSG00000160551","TAOK1","chr17","+",27717482,27717381,"protein_coding"
"224","ENSG00000196235","SUPT5H","chr19","+",39926796,39936222,"protein_coding"
"225","ENSG00000136381","IREB2","chr15","+",78729773,78730558,"protein_coding"
"226","ENSG00000112739","PRPF4B","chr6","+",4021501,4021649,"protein_coding"
"227","ENSG00000076108","BAZ2A","chr12","-",57030600,57024110,"protein_coding"
"228","ENSG00000196498","NCOR2","chr12","-",125052135,124873370,"protein_coding"
"229","ENSG00000117983","MUC5B","chr11","+",1244296,1244296,"protein_coding"
"230","ENSG00000221866","PLXNA4","chr7","-",132333447,132262074,"protein_coding"
"231","ENSG00000084774","CAD","chr2","+",27440258,27440237,"protein_coding"
"232","ENSG00000088538","DOCK3","chr3","+",50712672,50712367,"protein_coding"
"233","ENSG00000156304","SCAF4","chr21","-",33104388,33104431,"protein_coding"
"234","ENSG00000147548","WHSC1L1","chr8","-",38239790,38239781,"protein_coding"
"235","ENSG00000056097","ZFR","chr5","-",32444867,32444791,"protein_coding"
"236","ENSG00000010818","HIVEP2","chr6","-",143266338,143266313,"protein_coding"
"237","ENSG00000091656","ZFHX4","chr8","+",77593454,77593507,"protein_coding"
"238","ENSG00000135862","LAMC1","chr1","+",182992595,182992569,"protein_coding"
"239","ENSG00000124126","PREX1","chr20","-",47444420,47444449,"protein_coding"
"240","ENSG00000101384","JAG1","chr20","-",10654755,10654647,"protein_coding"
"241","ENSG00000132953","XPO4","chr13","-",21477187,21476885,"protein_coding"
"242","ENSG00000163714","U2SURP","chr3","+",142683339,142720444,"protein_coding"
"243","ENSG00000111799","COL12A1","chr6","-",75915767,75915769,"protein_coding"
"244","ENSG00000092201","SUPT16H","chr14","-",21852425,21852178,"protein_coding"
"245","ENSG00000177380","PPFIA3","chr19","+",49622646,49631835,"protein_coding"
"246","ENSG00000173473","SMARCC1","chr3","-",47823596,47823383,"protein_coding"
"247","ENSG00000047188","YTHDC2","chr5","+",112849380,112849402,"protein_coding"
"248","ENSG00000082898","XPO1","chr2","-",61765761,61765381,"protein_coding"
"249","ENSG00000166783","KIAA0430","chr16","-",15737023,15737003,"protein_coding"
"250","ENSG00000100731","PCNX","chr14","+",71374122,71374176,"protein_coding"
"251","ENSG00000168137","SETD5","chr3","+",9439299,9439299,"protein_coding"
"252","ENSG00000009954","BAZ1B","chr7","-",72936608,72936570,"protein_coding"
"253","ENSG00000083223","ZCCHC6","chr9","-",88969369,88969325,"protein_coding"
"254","ENSG00000056586","RC3H2","chr9","-",125667620,125667562,"protein_coding"
"255","ENSG00000134444","KIAA1468","chr18","+",59854491,59854514,"protein_coding"
"256","ENSG00000101868","POLA1","chrX","+",24712036,24712038,"protein_coding"
"257","ENSG00000107331","ABCA2","chr9","-",139923374,139922689,"protein_coding"
"258","ENSG00000075568","TMEM131","chr2","-",98612354,98612394,"protein_coding"
"259","ENSG00000003756","RBM5","chr3","+",50126341,50126387,"protein_coding"
"260","ENSG00000092847","AGO1","chr1","+",36335409,36348816,"protein_coding"
"261","ENSG00000132153","DHX30","chr3","+",47844399,47866505,"protein_coding"
"262","ENSG00000185658","BRWD1","chr21","-",40693485,40685558,"protein_coding"
"263","ENSG00000169180","XPO6","chr16","-",28223241,28223285,"protein_coding"
"264","ENSG00000198730","CTR9","chr11","+",10772534,10772796,"protein_coding"
"265","ENSG00000052126","PLEKHA5","chr12","+",19282686,19282667,"protein_coding"
"266","ENSG00000198900","TOP1","chr20","+",39657458,39657463,"protein_coding"
"267","ENSG00000067798","NAV3","chr12","+",78224685,78334068,"protein_coding"
"268","ENSG00000180182","MED14","chrX","-",40595110,40595136,"protein_coding"
"269","ENSG00000124571","XPO5","chr6","-",43543812,43543771,"protein_coding"
"270","ENSG00000196739","COL27A1","chr9","+",116917840,116917817,"protein_coding"
"271","ENSG00000148840","PPRC1","chr10","+",103892751,103892797,"protein_coding"
"272","ENSG00000109685","WHSC1","chr4","+",1873151,1873120,"protein_coding"
"273","ENSG00000204248","COL11A2","chr6","-",33160276,33160240,"protein_coding"
"274","ENSG00000130227","XPO7","chr8","+",21777182,21777178,"protein_coding"
"275","ENSG00000088387","DOCK9","chr13","-",99738879,99630309,"protein_coding"
"276","ENSG00000144893","MED12L","chr3","+",150803484,150803457,"protein_coding"
"277","ENSG00000009335","UBE3C","chr7","+",156931607,156931643,"protein_coding"
"278","ENSG00000032219","ARID4A","chr14","+",58765103,58765293,"protein_coding"
"279","ENSG00000137497","NUMA1","chr11","-",71791739,71752152,"protein_coding"
"280","ENSG00000173692","PSMD1","chr2","+",231921578,231921589,"protein_coding"
"281","ENSG00000143126","CELSR2","chr1","+",109792641,109792163,"protein_coding"
"282","ENSG00000197081","IGF2R","chr6","+",160390131,160390117,"protein_coding"
"283","ENSG00000168702","LRP1B","chr2","-",142889270,142888533,"protein_coding"
"284","ENSG00000143442","POGZ","chr1","-",151431941,151431920,"protein_coding"
"285","ENSG00000130723","PRRC2B","chr9","+",134269480,134269493,"protein_coding"
"286","ENSG00000177103","DSCAML1","chr11","-",117688240,117667908,"protein_coding"
"287","ENSG00000145147","SLIT2","chr4","+",20254883,20254513,"protein_coding"
"288","ENSG00000164080","RAD54L2","chr3","+",51575160,51575160,"protein_coding"
"289","ENSG00000189079","ARID2","chr12","+",46123448,46123489,"protein_coding"
"290","ENSG00000105613","MAST1","chr19","+",12944765,12949344,"protein_coding"
"291","ENSG00000133226","SRRM1","chr1","+",24958207,24969793,"protein_coding"
"292","ENSG00000122257","RBBP6","chr16","+",24549014,24550905,"protein_coding"
"293","ENSG00000071054","MAP4K4","chr2","+",102313312,102314169,"protein_coding"
"294","ENSG00000187323","DCC","chr18","+",49866542,49866567,"protein_coding"
"295","ENSG00000160218","TRAPPC10","chr21","+",45432200,45432212,"protein_coding"
"296","ENSG00000008294","SPAG9","chr17","-",49198226,49198226,"protein_coding"
"297","ENSG00000196914","ARHGEF12","chr11","+",120207623,120207122,"protein_coding"
"298","ENSG00000100346","CACNA1I","chr22","+",39966758,39966758,"protein_coding"
"299","ENSG00000196090","PTPRT","chr20","-",41818610,41818546,"protein_coding"
"300","ENSG00000116580","GON4L","chr1","-",155829191,155827002,"protein_coding"
"301","ENSG00000099331","MYO9B","chr19","+",17186591,17186587,"protein_coding"
"302","ENSG00000185920","PTCH1","chr9","-",98279339,98271437,"protein_coding"
"303","ENSG00000134644","PUM1","chr1","-",31538838,31538564,"protein_coding"
"304","ENSG00000117360","PRPF3","chr1","+",150293925,150294002,"protein_coding"
"305","ENSG00000126070","AGO3","chr1","+",36396319,36396706,"protein_coding"
"306","ENSG00000172869","DMXL1","chr5","+",118373467,118406870,"protein_coding"
"307","ENSG00000021776","AQR","chr15","-",35262040,35261898,"protein_coding"
"308","ENSG00000155561","NUP205","chr7","+",135242667,135242679,"protein_coding"
"309","ENSG00000122966","CIT","chr12","-",120315095,120315111,"protein_coding"
"310","ENSG00000065150","IPO5","chr13","+",98605912,98628932,"protein_coding"
"311","ENSG00000083312","TNPO1","chr5","+",72112139,72143966,"protein_coding"
"312","ENSG00000147724","FAM135B","chr8","-",139509065,139509504,"protein_coding"
"313","ENSG00000119778","ATAD2B","chr2","-",24149984,24149945,"protein_coding"
"314","ENSG00000055163","CYFIP2","chr5","+",156693089,156693133,"protein_coding"
"315","ENSG00000151208","DLG5","chr10","-",79686284,79686512,"protein_coding"
"316","ENSG00000033122","LRRC7","chr1","+",70034081,70033608,"protein_coding"
"317","ENSG00000121879","PIK3CA","chr3","+",178865902,178866145,"protein_coding"
"318","ENSG00000184432","COPB2","chr3","-",139108574,139108485,"protein_coding"
"319","ENSG00000197283","SYNGAP1","chr6","+",33387847,33387895,"protein_coding"
"320","ENSG00000152208","GRID2","chr4","+",93224773,93224880,"protein_coding"
"321","ENSG00000100813","ACIN1","chr14","-",23564823,23564345,"protein_coding"
"322","ENSG00000151067","CACNA1C","chr12","+",2079952,2162153,"protein_coding"
"323","ENSG00000114554","PLXNA1","chr3","+",126707437,126707547,"protein_coding"
"324","ENSG00000108094","CUL2","chr10","-",35379570,35379261,"protein_coding"
"325","ENSG00000176406","RIMS2","chr8","+",104512976,104831497,"protein_coding"
"326","ENSG00000115677","HDLBP","chr2","-",242256476,242212249,"protein_coding"
"327","ENSG00000142949","PTPRF","chr1","+",43990858,43996575,"protein_coding"
"328","ENSG00000205339","IPO7","chr11","+",9406169,9406199,"protein_coding"
"329","ENSG00000196632","WNK3","chrX","-",54385075,54384479,"protein_coding"
"330","ENSG00000130856","ZNF236","chr18","+",74534563,74534539,"protein_coding"
"331","ENSG00000197323","TRIM33","chr1","-",115053781,115053824,"protein_coding"
"332","ENSG00000196876","SCN8A","chr12","+",51984050,51985029,"protein_coding"
"333","ENSG00000145715","RASA1","chr5","+",86563705,86563700,"protein_coding"
"334","ENSG00000151461","UPF2","chr10","-",12085169,12084808,"protein_coding"
"335","ENSG00000080503","SMARCA2","chr9","+",2015219,2015347,"protein_coding"
"336","ENSG00000100084","HIRA","chr22","-",19434973,19419256,"protein_coding"
"337","ENSG00000108312","UBTF","chr17","-",42298994,42298247,"protein_coding"
"338","ENSG00000130396","MLLT4","chr6","+",168227602,168227591,"protein_coding"
"339","ENSG00000168172","HOOK3","chr8","+",42752075,42752121,"protein_coding"
"340","ENSG00000156802","ATAD2","chr8","-",124428590,124408670,"protein_coding"
"341","ENSG00000243156","MICAL3","chr22","-",18507325,18484267,"protein_coding"
"342","ENSG00000078687","TNRC6C","chr17","+",76000249,76037117,"protein_coding"
"343","ENSG00000145833","DDX46","chr5","+",134094461,134094469,"protein_coding"
"344","ENSG00000196220","SRGAP3","chr3","-",9404737,9291330,"protein_coding"
"345","ENSG00000136709","WDR33","chr2","-",128568761,128568745,"protein_coding"
"346","ENSG00000133026","MYH10","chr17","-",8534079,8534039,"protein_coding"
"347","ENSG00000070961","ATP2B1","chr12","-",90103077,90102608,"protein_coding"
"348","ENSG00000088179","PTPN4","chr2","+",120517207,120517498,"protein_coding"
"349","ENSG00000072364","AFF4","chr5","-",132299326,132299326,"protein_coding"
"350","ENSG00000090686","USP48","chr1","-",22110099,22109642,"protein_coding"
