chr	start	end	gene
chr7	20554830	20916658	ABCB5
chr7	95649532	96051459	SLC25A13
chr7	116493292	116970157	ST7
chr17	45095069	45366788	CDC27
chr17	42225753	42445509	SLC4A1
chr7	92953799	93304042	CALCR
chr17	7028660	7237864	DVL2
chr16	2802728	3008171	PRSS22
chr19	18842747	19079045	UPF1
chr7	26606681	27134858	SKAP2
chr4	110381361	110709874	CCDC109B
chr7	27121129	27324842	HOXA11
chr7	102013565	102219354	POLR2J
chr17	5244232	5472380	DHX33
chr17	41617756	41839322	MEOX1
chr7	11309984	11971824	THSD7A
chr17	33207513	33432083	LIG3
chr12	47957070	48199844	RPAP3
chr16	20521565	20908903	ACSM3
chr16	20717751	20960987	AC004381.6
chr16	57362081	57581440	CIAPIN1
chr9	35004109	35216338	FAM214B
chr17	46003533	46215392	COPZ2
chr7	106585094	106902256	PRKAR2B
chr16	3675055	4030727	CREBBP
chr17	56278592	56506152	BZRAP1
chr17	56247217	56458296	MPO
chr7	94826988	95125673	PON1
chr2	75779126	76038115	GCFC2
chr2	74548805	74752882	WDR54
chr7	86874997	87129111	CROT
chr7	86931013	87209751	ABCB4
chr7	104554626	104854808	KMT2E
chr7	75371920	75618244	RHBDD2
chr16	931808	1136979	SOX8
chr6	82779700	83057471	IBTK
chr11	3260491	3500448	ZNF195
chr13	77518792	78001185	MYCBP2
chr13	77466740	77701330	FBXL3
chr16	30383979	30634506	ITGAL
chr17	48072101	48289516	PDK2
chr17	48033332	48267845	ITGA3
chr17	42349548	42566873	ITGA2B
chr7	95007756	95269544	ASB4
chr16	19413015	19633467	GDE1
chr19	18599495	18803146	C19orf60
chr19	18583030	18818551	CRLF1
chr17	45784738	45999200	OSBPL7
chr17	31154928	31372124	TMEM98
chr17	7091571	7297934	YBX2
chr17	39402344	39607064	KRT33A
chr17	43240488	43494414	MAP3K14
chr11	17314432	17598449	ABCC8
chr16	24166874	24474122	CACNG3
chr11	60591935	60804631	TMEM132A
chr17	33805065	34153436	AP2B1
chr7	97261220	97469784	TAC1
chr16	3213743	3451401	ZNF263
chr16	57306370	57518960	CX3CL1
chr17	48520419	48733213	SPATA20
chr17	48538429	48804835	CACNA1G
chr16	2968446	3172384	TNFRSF12A
chr7	96534860	96740351	DLX6
chr14	71089243	71376251	MAP3K9
chr7	39563082	39847723	RALA
chr7	97820963	98130380	BAIAP2L1
chr7	139684546	139976835	KDM7A
chr7	13830853	14131050	ETV1
chr7	141150989	141455044	AGK
chr11	67676048	67896744	ALDH3B1
chr1	55145385	55366940	TTC22
chr7	77328122	77686818	PHTF2
chr7	75298851	75519214	CCL26
chr2	242195658	242534256	FARP2
chr11	17415442	17665963	USH1C
chr7	30436237	30691095	GGCT
chr7	87405531	87638856	DBF4
chr19	3494504	3706838	TBXA2R
chr7	111963023	112221072	IFRD1
chr19	40094946	40300084	LGALS14
chr17	13872813	14211994	COX10
chr7	73768120	74116931	GTF2IRD1
chr19	39776492	39981835	PAF1
chr7	38662563	39071994	VPS41
chr17	12592856	12994960	ARHGAP44
chr17	12795708	13021504	ELAC2
chr7	12510203	12793228	SCIN
chr17	10101401	10376447	MYH13
chr12	1697740	1997844	ADIPOR2
chr5	133441305	133806738	CDKL3
chr2	158633214	159092666	UPP2
chr16	2767164	2976305	PRSS21
chr19	45482546	45908541	MARK4
chr4	15864699	16186001	PROM1
chr19	17943825	18154800	CCDC124
chr19	41955886	42193197	CEACAM21
chr17	2396504	2688909	PAFAH1B1
chr17	25983792	26227525	NOS2
chr17	11401748	11973065	DNAH9
chr17	26841458	27072472	KIAA0100
chr17	26700311	26924799	SLC13A2
chr17	9713926	10201868	GAS7
chr19	45566186	45781495	TRAPPC6A
chr19	3677971	3902127	MATK
chr19	42077235	42310895	CEACAM7
chr17	61906100	62109714	CD79B
chr17	61915914	62150278	SCN4A
chr1	112966140	113263447	ST7L
chr11	31706340	31939509	PAX6
chr16	734974	938397	RPUSD1
chr16	8058	226354	RHBDF1
chr16	138968	379462	LUC7L
chr3	50300233	50641675	CACNA2D2
chr16	1283602	1499439	BAIAP3
chr16	1299241	1501912	TSR3
chr16	516995	734136	PIGQ
chr16	1562326	1827909	CRAMP1
chr6	35341374	35564853	TEAD3
chr1	169591781	169833846	SELE
chr1	6594228	6861984	DNAJC11
chr1	170960018	171186959	FMO3
chr6	16029356	16248479	MYLIP
chr1	23732922	23957712	E2F2
chr6	170744205	170962429	PSMB1
chr6	15146527	15622252	JARID2
chr1	209657062	209887283	CAMK1G
chr1	1534169	1755766	CDK11A
chr1	1582671	1811896	NADK
chr6	50686436	50915326	TFAP2B
chr6	50581541	50840701	TFAP2D
chr3	37980696	38265516	DLEC1
chr7	6101407	6412275	CYTH3
chr7	87463458	87932204	ADAM22
chr7	105630949	105853022	SYPL1
chr17	61409665	61623739	CYB561
chr17	48939535	49298226	SPAG9
chr3	48573902	48800348	CELSR3
chr7	121615701	121884334	AASS
chr12	6319602	6537672	PLEKHG6
chr3	42523332	42736606	SS18L2
chr19	4243524	4460083	MPND
chr12	16400076	16862193	MGST1
chr12	107285142	107587607	CRY1
chr19	46422411	46626323	PGLYRP1
chr19	13006422	13309610	NFIX
chr8	134367091	134684183	ST3GAL1
chr16	2996682	3210727	MMP25
chr16	3015298	3231908	IL32
chr16	2038711	2285899	PKD1
chr22	50939114	51152409	MAPK8IP2
chr17	38075350	38317468	MED24
chr8	22744930	22977712	RHOBTB2
chr2	37095526	37411485	HEATR5B
chr3	169584423	169816161	SEC62
chr8	56879854	57087069	RPS20
chr1	115159534	115401297	CSDE1
chr7	156831607	157162066	UBE3C
chr6	111520234	111904918	REV3L
chr1	18857500	19175360	PAX7
chr1	10986580	11207290	MASP2
chr6	150590028	150827105	IYD
chr1	27952490	28189633	FAM76A
chr1	209829377	210055668	TRAF3IP3
chr14	77641299	77887227	POMT2
chr6	142368367	142645826	VTA1
chr7	72907524	73138873	MLXIPL
chr7	72754728	73036608	BAZ1B
chr6	13521730	13811796	RANBP9
chr6	36222419	36456164	ETV7
chr1	231372850	231590769	SPRTN
chr1	171650788	171883163	METTL13
chr12	4571370	4823325	DYRK4
chr17	30577136	30808905	ZNF207
chr3	48536435	48748409	UQCRC1
chr7	38117824	38370272	STARD3NL
chr12	6208881	6447425	CD9
chr3	42634155	42844319	HHATL
chr12	6502522	6741121	NCAPD2
chr12	6547541	6765239	IFFO1
chr19	46071502	46286982	GIPR
chr3	52344673	52557657	PHF7
chr3	52367069	52579101	SEMA3G
chr3	52389134	52627087	NISCH
chr3	52429354	52658511	STAB1
chr19	50210126	50420633	FUZ
chr12	229789	472039	SLC6A13
chr9	33650515	33899230	PRSS3
chr16	3172325	3386221	ZNF200
chr12	6796024	7029974	CD4
chr12	6882733	7123407	LRRC23
chr6	25987509	26198571	HFE
chr1	41392872	41807826	SCMH1
chr6	111881535	112294655	FYN
chr6	142972604	143366338	HIVEP2
chr1	171117638	171355117	FMO1
chr1	23969645	24188549	TCEB3
chr1	24017460	24222029	LYPLA2
chr1	11766207	12003201	CLCN6
chr17	60604762	60870958	MRC2
chr5	149469520	149702351	SLC6A7
chr12	3086521	3495730	TSPAN9
chr14	93603896	93899438	BTBD7
chr19	3650817	3861697	APBA3
chr17	56182803	56396966	MKS1
chr3	43631605	43875863	ABHD5
chr19	15390859	15629952	AKAP8L
chr17	49154786	49437524	MBTD1
chr17	49237889	49475297	UTP18
chr7	5559678	5921370	RNF216
chr17	15802694	16048329	TTC19
chr19	697075	912327	PTBP1
chr19	38601646	38820354	DPF1
chr11	61182785	61448620	SYT7
chr3	45329998	45690913	LARS2
chr11	16999277	17329530	PIK3C2A
chr19	44050247	44274699	PLAUR
chr7	36329415	36593400	ANLN
chr19	15432319	15660762	WIZ
chr9	125603112	125967145	RABGAP1
chr12	91439025	91676900	DCN
chr19	46095741	46307247	QPCTL
chr19	46750251	46996238	PPP5C
chr2	65183500	65414138	CEP68
chr2	39376407	39764453	MAP4K3
chr19	36095429	36307940	ZBTB32
chr19	36295303	36499197	TYROBP
chr16	21069698	21291937	TMEM159
chr17	41096312	41377500	BRCA1
chr19	45810591	46082086	ERCC1
chr19	35710164	35938258	CD22
chr3	50204990	50414977	SEMA3B
chr3	46377136	46626724	LTF
chr8	28357986	28713116	EXTL3
chr12	100767486	101058191	NR1H4
chr6	53032196	53313947	ELOVL5
chr10	45769661	46041561	ALOX5
chr12	54004903	54221529	CALCOCO1
chr14	93573401	93795561	UBR7
chr14	50785219	51127844	MAP4K5
chr2	31356880	31592313	EHD3
chr19	40376912	40587348	PSMC4
chr4	6476902	6725089	MAN2B2
chr3	170077372	170403863	SLC7A14
chr3	170036653	170678169	CLDN11
chr17	42296993	42502238	SLC25A39
chr16	29731715	29959355	MVP
chr7	150938785	151175535	NUB1
chr6	83770869	84003655	PGM3
chr6	83803098	84008651	RWDD2A
chr2	201617732	201829422	CLK1
chr12	106651436	107003976	POLR3B
chr14	77153588	77392589	ANGEL1
chr5	141237893	141469856	RNF14
chr12	31126779	31357725	DDX11
chr12	13027798	13253207	HEBP1
chr12	12943716	13170871	GPRC5A
chr11	60639115	60887849	CD6
chr4	1623227	1846898	TACC3
chr6	96869471	97103152	UFL1
chr11	64929233	65173060	POLA2
chr8	144419825	144723623	ZC3H3
chr11	64848037	65079477	CAPN1
chr3	131936211	132187142	ACPP
chr2	63715743	63934331	MDH1
chr4	41892489	42192474	SLC30A9
chr1	149800543	150008791	MTMR11
chr10	101371601	101591857	COX15
chr14	91637667	91984188	CCDC88C
chr12	42450906	42732151	YAF2
chr10	80405	400577	ZMYND11
chr16	89579716	89804839	DPEP1
chr22	18116906	18357536	BID
chr5	138509441	138767360	MATR3
chr7	44452134	44680914	NPC1L1
chr17	48323453	48540499	XYLT2
chr2	110450335	110715272	RGPD5
chr8	26992840	27215937	STMN4
chr7	44318720	44630479	NUDCD3
chr5	50578921	50790564	ISL1
chr3	53746362	53980417	CHDH
chr6	137221108	137466298	IL20RA
chr1	86834051	87065972	CLCA1
chr1	86912761	87146437	CLCA4
chr3	52628505	52840048	GLT8D1
chr3	130469439	130835556	ATP2C1
chr12	102689645	102974423	IGF1
chr18	9375007	9638114	RALBP1
chr4	71469921	71773032	RUFY3
chr12	40986244	41566220	CNTN1
chr2	219146752	219361617	SLC11A1
chr3	149135022	149554501	WWTR1
chr2	178157372	178508564	AGPS
chr1	159985549	160213381	ATP1A2
chr2	32753099	33146118	TTC27
chr19	56787413	57004914	ZNF582
chr11	124517368	124722134	VSIG2
chr11	118377155	118628741	PHLDB1
chr2	119599742	119852236	MARCO
chr20	52669988	52890512	CYP24A1
chr11	45015564	45347734	PRDM11
chr11	45161852	45407870	SYT13
chr8	49730249	49934299	SNAI2
chr5	149681200	149892492	CD74
chr7	81228322	81499754	HGF
chr10	126530692	126776758	ZRANB1
chr1	35923074	36132875	NCDN
chr8	37541709	37802414	ADGRA2
chr20	50568202	50920847	ZFP64
chr14	61101460	61536671	MNAT1
chr14	54933815	55360033	SAMD4A
chr1	25126002	25391612	RUNX3
chr11	94052895	94327074	MRE11A
chr11	73257223	73473864	PLEKHB1
chr6	2732566	2942240	SERPINB1
chr7	99325636	99563718	CYP3A43
chr19	33221415	33460672	SLC7A9
chr2	32188680	32482706	SPAST
chr14	78608734	80430762	NRXN3
chr11	3008346	3287969	OSBPL5
chr15	35047732	35362040	AQR
chr2	211242406	211643831	CPS1
chr1	57294883	57531813	C8B
chr20	54943647	55193943	RTFDC1
chr5	161174197	161426975	GABRA1
chr19	55364498	55612510	NLRP2
chr8	142117265	142418404	SLC45A4
chr12	120871283	121115397	RNF10
chr14	102683714	102909044	ZNF839
chr10	114090058	114306672	ZDHHC6
chr11	123296344	123598482	GRAMD1B
chr11	394512	607300	RNH1
chr2	206879541	207124327	NDUFS1
chr8	53435016	53758403	RB1CC1
chr9	102641461	102961322	ERP44
chr3	52132102	52348343	ALAS1
chr11	102088215	102310134	BIRC3
chr13	42746289	42997396	AKAP11
chr1	192965598	193175244	GLRX2
chr14	62129075	62363146	SNAPC1
chr12	15964106	16290220	DERA
chr12	15935325	16156412	STRAP
chr10	101442489	101711949	ABCC2
chr6	35165595	35389548	DEF6
chr1	150021373	150236916	PLEKHO1
chr1	94250761	94474966	GCLM
chr6	42431800	42761242	UBR2
chr19	48116600	48346391	EHD2
chr1	68839835	69062904	DEPDC1
chr6	138994657	139214456	CCDC28A
chr6	89974355	90221989	RRAGD
chr6	122620691	122854264	HSF2
chr20	34259896	34638303	PHF20
chr12	57045945	57281574	HSD17B6
chr11	47169851	47390396	NR1H3
chr22	50864181	51068485	TYMP
chr22	50846645	51061901	NCAPH2
chr20	43470771	43689127	TOMM34
chr6	108088960	108379393	SEC63
chr1	32473639	32742169	KPNA6
chr10	17170258	17379592	VIM
chr10	90650414	90875542	FAS
chr6	167242992	167470679	RNASET2
chr11	35060417	35353949	CD44
chr20	49520193	49739666	KCNG1
chr6	161451011	161795093	AGPAT4
chr1	160609037	160824611	SLAMF7
chr6	26302465	26515444	BTN3A1
chr13	24204328	24563558	MIPEP
chr14	61554277	62117694	PRKCH
chr1	156709855	156928810	INSRR
chr6	137418621	137640586	IFNGR1
chr5	176927101	177137348	B4GALT7
chr1	156676035	156886654	SH2D2A
chr2	58034786	58487055	VRK2
chr1	12127060	12369285	TNFRSF1B
chr12	95511522	95796566	VEZT
chr19	42490263	42800737	POU2F2
chr5	750406	992939	BRD9
chr15	64286322	64538289	SNX1
chr6	134173308	134411570	TBPL1
chr12	27385787	27676241	ARNTL2
chr6	136478001	136710989	BCLAF1
chr14	69764732	70029105	SLC39A9
chr8	41410739	41854280	ANK1
chr4	88620733	88833074	IBSP
chr6	155478643	155735627	TFB1M
chr17	5085558	5389129	RABEP1
chr11	47699639	47970107	NUP160
chr6	33440329	33648019	BAK1
chr9	113331051	113663859	MUSK
chr2	213764429	214117151	IKZF2
chr17	42322614	42530470	GRN
chr5	137173649	137487650	FAM13B
chr3	118913220	119239561	ARHGAP31
chr6	49331091	49560820	CENPQ
chr1	109656540	109880791	SARS
chr19	5816150	6078153	RANBP3
chr14	58665103	58940605	ARID4A
chr2	3092696	3481653	TSSC1
chr19	7498890	7726650	PNPLA6
chr13	21040585	21365503	IFT88
chr16	4983703	5237380	ALG1
chr12	122857417	123085518	ZCCHC8
chr7	150804923	151024316	ABCF2
chr7	150829575	151035908	CHPF2
chr1	69934081	70717628	LRRC7
chr14	65777310	66310839	FUT8
chr4	68378370	68666897	UBA6
chr11	77826343	78229394	GAB2
chr17	40510862	40774629	ATP6V0A1
chr15	68246517	68583096	PIAS1
chr3	27314214	27625911	SLC4A7
chr15	29029629	29510518	APBA2
chr17	21087984	21318552	MAP2K3
chr8	49523348	49747870	EFCAB1
chr2	85032749	85233795	TMSB10
chr3	130632719	130846493	ASTE1
chr8	101169288	101448446	RNF19A
chr6	143671944	143911147	PEX3
chr16	75500249	75711779	GABARAPL2
chr1	171504557	171721823	MYOC
chr2	117730	366398	SH3YL1
chr2	70423107	70629222	FAM136A
chr10	75657872	75979918	VCL
chr5	59792739	60096017	DEPDC1B
chr15	64099235	64464232	DAPK2
chr8	59396063	59672403	NSMAF
chr1	244471796	244715436	ADSS
chr4	68324446	68573055	STAP1
chr17	76749059	77021469	TIMP2
chr4	39189076	39467995	RFC1
chr3	99879844	100144095	TBC1D23
chr2	225234867	225550110	CUL3
chr8	1893155	2213475	MYOM2
chr14	100050641	100293638	CYP46A1
chr1	77928101	78249104	ZZZ3
chr8	19902366	20140717	SLC18A1
chr11	119125925	119352436	USP2
chr3	121802530	122105342	CASR
chr17	40711323	40919024	TUBG2
chr5	172285732	172496774	RPL26L1
chr5	179928506	180176624	FLT4
chr5	6499352	6733404	NSUN2
chr1	16473334	16778949	FBXO42
chr5	153318466	153700038	MFAP3
chr19	13775346	13985096	MRI1
chr12	58062254	58266576	METTL1
chr12	54302832	54507570	HOXC8
chr4	178251924	178463657	AGA
chr4	25062263	25380714	PI4K2B
chr4	13470362	13729347	BOD1L1
chr5	162830120	163046342	MAT2B
chr4	166694410	167125047	TLL1
chr16	67806926	68018406	EDC4
chr5	14043811	14632235	TRIO
chr5	82667284	82978122	VCAN
chr16	10938345	11376046	CLEC16A
chr8	15865387	16524999	MSR1
chr16	68671128	68969451	CDH1
chr5	54503588	54821409	SKIV2L2
chr5	13590440	14044652	DNAH5
chr5	79603832	79875169	ZFYVE16
chr16	67452321	67680691	FAM65A
chr5	41042336	41361540	C6
chr5	34556342	34932732	RAI14
chr5	156952687	157198488	SOX30
chr19	50264461	50471166	PNKP
chr19	12762516	12969272	BEST2
chr16	71571738	71858604	PHLPP2
chr5	168910638	169131782	SPDL1
chr8	74232604	74759943	STAU2
chr1	19538820	19755794	PQLC2
chr17	3439762	3664836	CTNS
chr22	20128938	20370769	RTN4R
chr17	7038347	7243041	PHF23
chr5	24387209	24745087	CDH10
chr2	98961317	99310853	INPP4A
chr18	52285091	52662747	RAB27B
chr15	78732747	78941604	PSMA4
chr13	109148500	109960355	MYO16
chr3	194261517	194493206	LSG1
chr3	51876361	52082883	PARP3
chr9	117682806	117980536	TNC
chr1	6584926	6795646	THAP3
chr20	49102645	49408065	FAM65C
chr14	90321283	90611106	TDP1
chr10	71757979	71992690	AIFM2
chr2	228374806	228598036	C2orf83
chr14	88751268	89036694	SPATA7
chr11	93417393	93647861	MED17
chr2	85469211	85681743	RETSAT
chr2	85521871	85745555	CAPG
chr19	47241393	47454249	AP2S1
chr1	215696236	216696738	USH2A
chr7	49790017	50260925	ZPBP
chr8	133779203	134247147	TG
chr8	24051553	24316531	ADAM28
chr11	129145835	129422171	BARX2
chr3	182555862	182803741	DCUN1D1
chr5	133760003	134018918	JADE2
chr13	100534026	100739018	ZIC2
chr5	169573241	169825231	LCP2
chr1	40206723	40449183	TRIT1
chr10	115703806	115906667	ADRB1
chr1	42519092	42721495	GUCA2B
chr6	42905355	43121683	CUL7
chr5	137846656	138370723	CTNNA1
chr9	17034980	17603921	CNTLN
chr3	89056674	89631284	EPHA3
chr9	127897132	128103609	HSPA5
chr18	28978006	29228971	DSG2
chr8	68764353	69249265	PREX2
chr10	995478	1278237	WDR37
chr5	112749380	113030982	YTHDC2
chr8	54528117	54856118	ATP6V1H
chr4	57743888	57997334	POLR2B
chr15	52773514	53102014	FAM214A
chr4	35849843	36346131	ARAP2
chr1	186180784	186444825	TPR
chr3	148780197	149039842	CP
chr16	27461454	27891690	KIAA0556
chr6	15423032	15763289	DTNBP1
chr12	5541035	6155398	ANO2
chr12	4496894	4747674	C12orf4
chr4	17530929	17883135	FAM184B
chr3	47792182	48230769	MAP4
chr6	117539374	118023691	GOPC
chr6	117509463	117847018	ROS1
chr11	113568596	113846292	USP28
chr7	18026572	19142039	HDAC9
chr5	175974388	176186058	TSPAN17
chr5	175710949	175915976	NOP16
chr4	15371489	15703180	CC2D2A
chr8	103116730	103351346	RRM2B
chr7	126886844	127171978	ZNF800
chr16	11958964	12161925	TNFRSF17
chr16	11970594	12768146	SNX29
chr12	16601307	16863528	LMO3
chr6	42074539	42285603	MRPS10
chr6	42023144	42247794	GUCA1A
chr11	77271041	77632063	RSF1
chr1	12190124	12672099	VPS13D
chr10	10947259	11478674	CELF2
chr9	96114004	96428397	FAM120A
chr2	136189025	136582840	R3HDM1
chr1	40666159	40883488	COL9A2
chr12	88786570	89074628	KITLG
chr5	60069658	60340900	ERCC8
chr5	64344563	64877747	ADAMTS6
chr1	9194834	9431396	H6PD
chr1	7731329	7941492	VAMP3
chr1	7744380	8005237	PER3
chr1	7803143	8013572	UTS2
chr1	7879907	8100926	TNFRSF9
chr17	48509904	48721111	EPN3
chr2	33072039	33724576	LTBP1
chr11	31733939	32227301	RCN1
chr7	73342119	73584237	ELN
chr7	73545829	73768774	RFC2
chr6	156999063	157631913	ARID1B
chr5	1217859	1445214	CLPTM1L
chr18	55611599	56168772	NEDD4L
chr5	73835848	74118472	HEXB
chr5	71516194	71756052	PTCD2
chr14	59851161	60072128	JKAMP
chr11	11884653	12131316	DKK3
chr7	143952381	144177725	ARHGEF5
chr7	26091860	26326745	NFE2L3
chr6	13686789	13914800	MCUR1
chr12	50469571	50777329	LIMA1
chr12	51341745	51554207	LETMD1
chr12	51685101	52002980	SLC4A8
chr9	133784469	134069860	LAMC3
chr1	71218036	71613491	PTGER3
chr4	121952563	122248621	TNIP3
chr5	179560143	179819099	MAPK9
chr5	177564619	178117556	COL23A1
chr16	75162928	75401951	BCAR1
chr11	6132565	6355941	FAM160A2
chr16	56865960	57077798	HERPUD1
chr19	18940010	19152070	HOMER3
chr15	40886972	41124354	RAD51
chr3	121050278	121364853	POLQ
chr3	138272860	138653780	PIK3CB
chr16	88609691	88817560	CYBA
chr5	175244876	175561683	THOC3
chr6	138624668	138843334	HEBP2
chr12	123536867	123828561	MPHOSPH9
chr12	19182648	19629334	PLEKHA5
chr16	31042756	31247083	PRSS8
chr1	115212100	115423306	SIKE1
chr10	99016115	99261127	RRP12
chr4	159590290	159929201	FNIP2
chr4	166148775	166364312	MSMO1
chr11	43280482	43616483	TTC17
chr11	44181994	44431716	ALX4
chr5	132432147	133048255	FSTL4
chr14	89491215	90185493	FOXN3
chr6	110467131	110779475	METTL24
chr1	19530459	19738640	AKR7A2
chr1	19478033	19686622	MRTO4
chr20	36049617	36252092	NNAT
chr19	17226155	17430638	USE1
chr3	182795831	183246566	MCF2L2
chr12	2834514	3044710	NRIP2
chr18	21169407	21635030	LAMA3
chr14	57635627	57856797	AP5M1
chr4	25278835	25520120	ANAPC4
chr11	2365914	2970339	KCNQ1
chr1	36502173	36715098	TRAPPC3
chr1	36590017	36870958	THRAP3
chr9	139643176	139845488	PHPT1
chr9	139842550	140048497	ENTPD2
chr2	160528362	160861260	LY75
chr1	235194949	235591534	ARID4B
chr1	241653404	241940678	OPN3
chr1	243319320	243763394	SDCCAG8
chr2	220054345	220274370	PTPRN
chr1	210401596	210949638	HHAT
chr1	10170863	10541661	KIF1B
chr6	1510681	1714127	FOXC1
chr22	47058518	47671336	TBC1D22A
chr14	64219683	64793165	SYNE2
chr14	67900018	68156329	PLEKHH1
chr20	50113053	50485173	ATP9A
chr20	55804815	56019050	SPO11
chr20	54472496	54680528	CBLN4
chr11	74307474	74542430	CHRDL2
chr11	73011532	73409234	FAM168A
chr11	72987309	73208519	RELT
chr14	88204164	88560009	GALC
chr2	203030439	203268389	NOP58
chr1	16579070	16824640	SZRD1
chr7	150542049	150775403	KCNH2
chr7	148295006	148598128	CUL1
chr5	153269688	153518496	FAM114A2
chr5	156593089	156922606	CYFIP2
chr6	149439777	149832749	TAB2
chr6	149787430	150012884	GINM1
chr2	37226353	37484208	EIF2AK2
chr17	76683463	76937523	USP36
chr7	151732010	152233090	KMT2C
chr1	85383765	85614182	MCOLN3
chr2	56311258	56713308	CCDC85A
chr2	20348452	20651995	PUM2
chr10	102629215	102847272	MRPL43
chr3	52746991	52965495	ITIH4
chr3	52711603	52926078	ITIH1
chr4	170550616	170779104	C4orf27
chr5	32254456	32544867	ZFR
chr4	72797521	73113784	NPFFR2
chr22	45177042	45505880	PHF21B
chr9	123564671	123791451	TRAF1
chr9	125506835	125767620	RC3H2
chr3	53780607	53999827	IL17RB
chr6	111777657	112027481	TRAF3IP2
chr3	98414785	98720533	DCBLD2
chr18	61222431	61429197	SERPINB3
chr1	179162925	179427815	SOAT1
chr12	32843679	33149774	PKP2
chr1	76162567	76478923	MSH4
chr13	113660105	113874995	F7
chr10	5707186	5984095	GDI2
chr6	106434195	106657814	PRDM1
chr6	106532351	106873666	ATG5
chr12	94860900	95144338	TMCC3
chr1	24004895	24214722	PITHD1
chr2	42621709	43084087	MTA3
chr3	179270543	179607189	USP13
chr3	182411288	182739423	ATP11B
chr1	183055373	183314035	LAMC2
chr7	89995738	90939905	CDK14
chr3	127670484	127890526	SEC61A1
chr12	80067343	80429240	PPP1R12A
chr15	79152289	79483115	RASGRF1
chr7	44156749	44474176	CAMK2B
chr1	16966768	17399474	CROCC
chr16	22208730	22446424	POLR3E
chr1	203495689	203813209	ATP2B4
chr1	203664782	203923252	ZC3H11A
chr5	96396571	96618964	RIOK2
chr1	54217392	54456407	YIPF1
chr1	54131133	54404533	NDC1
chr3	185723457	186180026	DGKG
chr16	2861938	3101209	FLYWCH1
chr16	1313206	1564752	UNKL
chr7	139376850	139820125	TBXAS1
chr7	139623544	139863521	PARP12
chr10	97265696	97516463	ALDH18A1
chr1	234427059	234714849	TARBP1
chr4	152491656	152782175	GATB
chr2	70024820	70270077	MXD1
chr12	96572039	96894338	CDK17
chr9	114293632	114532508	DNAJC25
chr12	7971826	8188871	SLC2A3
chr10	104062376	104281296	PSD
chr18	77339801	77614510	CTDP1
chr12	10751683	10975911	YBX3
chr12	10671538	10926917	STYK1
chr12	761759	1120618	WNK1
chr10	70380769	70652134	CCAR1
chr20	61336187	61545352	OGFR
chr19	3036191	3263767	GNA15
chr19	4053598	4273051	CREB3L3
chr1	27013963	27224889	PIGV
chr1	29463028	29753325	PTPRU
chr1	31632417	31869662	SNRNP40
chr12	130780682	131300826	RIMBP2
chr1	103242023	103674052	COL11A1
chr11	32814724	33114862	QSER1
chr6	166678407	166896486	MPC1
chr3	38044620	38278733	ACAA1
chr12	24864295	25202393	BCAT1
chr12	48076505	48326915	HDAC7
chr8	20003676	20261474	LZTS1
chr5	122324816	122629960	PRDM6
chr5	137319581	137528054	WNT8A
chr20	34103814	34308971	SPAG4
chr2	183673843	184003586	NCKAP1
chr12	27763706	28009228	MRPS35
chr4	156580144	156828743	GUCY1B3
chr12	132095626	132384282	SFSWAP
chr3	195490235	195738816	TNK2
chr12	62760597	63091363	MON2
chr16	68570092	68856519	CDH3
chr5	56369775	56660506	GPBP1
