MGI.symbol	HGNC.symbol
Rfc1	RFC1
Afap1l1	AFAP1L1
Lss	LSS
Tefm	TEFM
Vmac	VMAC
Ankrd7	POTEH
Zfhx4	ZFHX4
Clcnka	CLCNKB
Bach1	BACH1
Ltk	LTK
Tdp2	TDP2
Synj2bp	SYNJ2BP
4930402H24Rik	C20orf194
Pan3	PAN3
Sirt5	SIRT5
Antxrl	ANTXRL
Spdye4b	SPDYE8P
Ghr	GHR
Slc2a4	SLC2A4
Sugct	SUGCT
Mettl2	METTL2A
Adap2	ADAP2
Lhfpl4	LHFPL4
Mrpl34	MRPL34
Ybx2	YBX2
Tgfbi	TGFBI
Psg17	CEACAM21
Cdkl4	CDKL4
Fuca2	FUCA2
Doc2b	DOC2B
Ick	ICK
Hectd2	HECTD2
Ints6	INTS6
Ptprf	PTPRF
Ccl21a	CCL21
Eml6	EML6
Fam110a	FAM110A
Nupl1	NUP58
Fam205c	FAM205C
Ktn1	KTN1
Gh	CSH1
Gh	CSHL1
Gh	GH1
Nme6	NME6
Fscb	FSCB
Ccl19	CCL19
Gm10767	RAMAC
Rps6kb1	RPS6KB1
Dazl	DAZL
Mnat1	MNAT1
Wdr18	WDR18
Wfdc8	WFDC8
Dolpp1	DOLPP1
Decr2	DECR2
Abhd18	ABHD18
Slc38a6	SLC38A6
Rab2a	RAB2A
Sis	SI
Rybp	RYBP
Tnfrsf12a	TNFRSF12A
Trmt5	TRMT5
Psg29	CEACAM21
Cldn6	CLDN6
Fabp2	FABP2
4932438A13Rik	KIAA1109
Homer2	HOMER2
Akirin2	AKIRIN2
Gm527	C14orf28
3110040N11Rik	C15orf40
Dis3l	DIS3L
Mfsd8	MFSD8
Coasy	COASY
Serpinf1	SERPINF1
Serpine3	SERPINE3
Mb21d2	MB21D2
Tcp10c	TCP10L
Papss1	PAPSS1
Nme4	NME4
Ceacam3	CEACAM21
Psg22	CEACAM21
Tpte	TPTE
Slc25a39	SLC25A39
Tmem39b	TMEM39B
Scgb1c1	SCGB1C2
Ndufaf4	NDUFAF4
Matn2	MATN2
Glyatl3	GLYATL3
Aaed1	PRXL2C
Zfp516	ZNF516
Fam131c	FAM131C
Popdc3	POPDC3
Ctsc	CTSC
Mfge8	MFGE8
Itga8	ITGA8
Ppcdc	PPCDC
Ccna1	CCNA1
Il27ra	IL27RA
Gm20498	SYNJ2BP-COX16
Naglu	NAGLU
Rpgrip1	RPGRIP1
Gm5155	CEACAM21
Ano8	ANO8
Psg27	CEACAM21
Fbf1	FBF1
Clec11a	CLEC11A
a	ASIP
Myom2	MYOM2
Psg18	CEACAM21
Tcp10b	TCP10L
Calm1	CALM1
Ttbk2	TTBK2
2210011C24Rik	MISP3
Wfdc10	WFDC10A
Psg28	CEACAM21
Ceacam14	CEACAM21
Fyttd1	FYTTD1
Dsel	DSEL
Acy1	ABHD14A-ACY1
Nop56	NOP56
Dusp8	DUSP8
Pex3	PEX3
Rubcn	RUBCN
Cabin1	CABIN1
Fbxo9	FBXO9
Lrrc34	LRRC34
Phf2	PHF2
Krtap5-4	KRTAP5-2
Krtap5-4	KRTAP5-5
Cldn9	CLDN9
Btbd1	BTBD1
Chst12	CHST12
Angpt4	ANGPT4
Pak1ip1	PAK1IP1
Plekhs1	PLEKHS1
Runx1	RUNX1
Scg5	SCG5
Dock5	DOCK5
Rcvrn	RCVRN
Atp13a4	ATP13A4
Elmod1	ELMOD1
Gm12394	FAM205A
Cox16	COX16
Fam205a1	FAM205A
Psg21	CEACAM21
Krtap5-1	KRTAP5-2
Krtap5-1	KRTAP5-5
Prkcb	PRKCB
Med18	MED18
Mynn	MYNN
Tmem241	TMEM241
Palm3	PALM3
Krtap5-5	KRTAP5-2
Krtap5-5	KRTAP5-5
Wfdc9	WFDC9
Cenpq	CENPQ
Cables1	CABLES1
Fkbp1b	FKBP1B
Ceacam12	CEACAM21
Psg25	CEACAM21
Psg26	CEACAM21
Slco4a1	SLCO4A1
Gm2564	CCL19
Bves	BVES
Psg16	CEACAM21
Agxt2	AGXT2
Fam76b	FAM76B
Padi3	PADI3
Ceacam11	CEACAM21
Kcnt1	KCNT1
Gpr63	GPR63
St6galnac1	ST6GALNAC1
Pdhb	PDHB
Skor1	SKOR1
Apobr	APOBR
Fars2	FARS2
Sbsn	SBSN
Ankfy1	ANKFY1
Cd79b	CD79B
Dmbx1	DMBX1
Tgfbr2	TGFBR2
Ank3	ANK3
Cep57	CEP57
Lrrc74b	LRRC74B
Eif4ebp3	EIF4EBP3
Spdye4a	SPDYE8P
Ppm1n	PPM1N
Dda1	DDA1
Rtn2	RTN2
Six4	SIX4
Abhd8	ABHD8
Mfsd2b	MFSD2B
Ddx52	DDX52
Psg20	CEACAM21
Fgfr4	FGFR4
Hsd17b1	HSD17B1
Plpp2	PLPP2
Rnf216	RNF216
Klb	KLB
Eny2	ENY2
Psg23	CEACAM21
Tmem38a	TMEM38A
Sufu	SUFU
Cyb5d2	CYB5D2
Jak2	JAK2
Chmp4c	CHMP4C
Pcgf5	PCGF5
Khdrbs1	KHDRBS1
Il12a	IL12A
Cln3	CLN3
Insl6	INSL6
Pcbp4	PCBP4
Sult1e1	SULT1E1
Dmrt2	DMRT2
Casc4	CASC4
Sertm1	SERTM1
Cebpg	CEBPG
Wee1	WEE1
Gjb6	GJB6
Mier2	MIER2
Ceacam13	CEACAM21
Ceacam5	CEACAM21
Tcp10a	TCP10L
Klf4	KLF4
Cdc42se2	CDC42SE2
Upf1	UPF1
Grifin	GRIFIN
Arhgef28	ARHGEF28
1700067K01Rik	C19orf67
Psg19	CEACAM21
Phactr2	PHACTR2
Loxl1	LOXL1
Smyd4	SMYD4
Npy4r	NPY4R
Atp13a5	ATP13A5
Mkrn3	MKRN3
Lrrc31	LRRC31
Abhd14a	ABHD14A
Tbc1d5	TBC1D5
Rfxap	RFXAP
Wrb	WRB
Olfr554	OR52M1
Rad51b	RAD51B
Ndufc2	NDUFC2
Ndufc2	NDUFC2-KCTD14
Mycs	MYCN
Acsbg1	ACSBG1
Ccz1	CCZ1
Abhd2	ABHD2
Dxo	DXO
Hoxa9	HOXA9
Sox6	SOX6
Nudt15	NUDT15
Prkdc	PRKDC
Calml4	CALML4
Myod1	MYOD1
Cib2	CIB2
Gabra5	GABRA5
F13a1	F13A1
Psg25	CEACAM4
Psg25	CEACAM7
Psg25	CEACAM5
Psg25	CEACAM6
Brat1	BRAT1
Fkbpl	FKBPL
Cnr1	CNR1
Psg26	CEACAM4
Psg26	CEACAM7
Psg26	CEACAM5
Psg26	CEACAM6
Phf24	PHF24
Ptgr1	PTGR1
Padi4	PADI4
St6gal1	ST6GAL1
Txlng	TXLNG
Pfn4	PFN4
Defb20	DEFB128
Gm8765	SPATA31A5
Gm8765	SPATA31A3
Olfr1303	OR4F3
Defb26	DEFB125
Fam228b	FAM228B
Snrnp25	SNRNP25
Flii	FLII
Eng	ENG
Psg21	CEACAM4
Psg21	CEACAM7
Psg21	CEACAM5
Psg21	CEACAM6
Ltv1	LTV1
Fermt3	FERMT3
Lfng	LFNG
Slc22a23	SLC22A23
Tcf7	TCF7
Atrn	ATRN
Mpv17	MPV17
Dag1	DAG1
Tubb2b	TUBB2B
Selenop	SELENOP
Stk40	STK40
Slf1	SLF1
Slc27a4	SLC27A4
Gli3	GLI3
Kncn	KNCN
Iglc3	IGLC1
Iglc3	IGLL5
Iglc3	IGLC2
Iglc3	IGLC3
Bud13	BUD13
Nadsyn1	NADSYN1
Ppp1r14c	PPP1R14C
Rpa1	RPA1
Acrbp	ACRBP
Phlpp1	PHLPP1
6430628N08Rik	TMEM275
Gpr143	GPR143
Ap2s1	AP2S1
Wfdc3	WFDC3
Thoc6	THOC6
Idh3a	IDH3A
Cct8l1	CCT8L2
Kctd6	KCTD6
Ceacam5	CEACAM4
Ceacam5	CEACAM7
Ceacam5	CEACAM5
Ceacam5	CEACAM6
Cdk5rap2	CDK5RAP2
9130008F23Rik	C6orf141
Iglc1	IGLC1
Iglc1	IGLL5
Iglc1	IGLC2
Iglc1	IGLC3
Ppp1r3c	PPP1R3C
Prdm2	PRDM2
Saxo1	SAXO1
Lst1	LST1
Tnfrsf26	TNFRSF10B
Pin1	PIN1
Trpt1	TRPT1
Rpap1	RPAP1
Rspo4	RSPO4
Padi6	PADI6
Psg23	CEACAM4
Psg23	CEACAM7
Psg23	CEACAM5
Psg23	CEACAM6
1700017B05Rik	C15orf39
Bche	BCHE
Ifitm10	IFITM10
Zfy1	ZNF792
Lrrc3c	LRRC3C
Theg	THEG
Dusp22	DUSP22
Wfdc13	WFDC13
Naaladl1	NAALADL1
Pepd	PEPD
Tnfrsf11a	TNFRSF11A
Prr23a2	PRR23A
Prr23a2	PRR23B
Prr23a2	PRR23C
Spdye4a	SPDYE9P
Adamts9	ADAMTS9
Fam166b	FAM166B
Psmg4	PSMG4
Apoo	APOO
Cryaa	CRYAA
Sh3bgr	SH3BGR
Bsn	BSN
Tmem14c	TMEM14C
Nutm2	NUTM2G
Rbm26	RBM26
Zpr1	ZPR1
Nudt22	NUDT22
Spaca1	SPACA1
Abca13	ABCA13
Tmem191c	TMEM191B
Adarb1	ADARB1
Azin1	AZIN1
Lca5l	LCA5L
Rcc2	RCC2
Tmc8	TMC8
Slc35g2	SLC35G2
Klhl32	KLHL32
Smtn	SMTN
Zfy2	ZNF792
Otog	OTOG
Fnip1	FNIP1
Sbspon	SBSPON
Zkscan16	ZNF483
Nfic	NFIC
Chd7	CHD7
Cebpd	CEBPD
Ctdspl2	CTDSPL2
Supt16	SUPT16H
Hrasls	HRASLS
Rxfp1	RXFP1
Spdye4b	SPDYE9P
Hopx	HOPX
Olfr552	OR52K2
Copb2	COPB2
Mrps22	MRPS22
Dnajc4	DNAJC4
Gsdma	GSDMA
Dnah11	DNAH11
Hnf1b	HNF1B
Gm2431	KRTAP5-6
Ocm	OCM
Psmd3	PSMD3
Mctp1	MCTP1
Cyp2u1	CYP2U1
Stk19	STK19
Acy1	ACY1
Vasp	VASP
Mbl2	MBL2
Rnf167	RNF167
Idh3b	IDH3B
Psg28	CEACAM4
Psg28	CEACAM7
Psg28	CEACAM5
Psg28	CEACAM6
Hcfc1r1	HCFC1R1
Defb23	DEFB129
1810043G02Rik	CFAP410
Esrp1	ESRP1
Mknk1	MKNK1
Lmf1	LMF1
Ceacam14	CEACAM4
Ceacam14	CEACAM7
Ceacam14	CEACAM5
Ceacam14	CEACAM6
Mob3c	MOB3C
Psg27	CEACAM4
Psg27	CEACAM7
Psg27	CEACAM5
Psg27	CEACAM6
Pde7a	PDE7A
Syt15	SYT15
Psg18	CEACAM4
Psg18	CEACAM7
Psg18	CEACAM5
Psg18	CEACAM6
Gabrb3	GABRB3
Msc	MSC
Slc35c2	SLC35C2
Tlk2	TLK2
Arhgap35	ARHGAP35
Zmynd10	ZMYND10
Gnrh1	GNRH1
Wdr37	WDR37
Rsph10b	RSPH10B
Gm5155	CEACAM4
Gm5155	CEACAM7
Gm5155	CEACAM5
Gm5155	CEACAM6
Susd2	SUSD2
Terf1	TERF1
Samd4b	SAMD4B
Rapgef6	RAPGEF6
Prkaca	PRKACA
Gm27919	PISRT1
Plekhg1	PLEKHG1
Adamtsl1	ADAMTSL1
Plcl2	PLCL2
Llgl1	LLGL1
Ehbp1	EHBP1
Ceacam3	CEACAM4
Ceacam3	CEACAM7
Ceacam3	CEACAM5
Ceacam3	CEACAM6
Tubb4a	TUBB4A
Shank3	SHANK3
Adarb2	ADARB2
Rngtt	RNGTT
Zcchc2	ZCCHC2
Nrn1	NRN1
Gde1	GDE1
Lpar5	LPAR5
Pebp4	PEBP4
Slc25a11	SLC25A11
Ggt1	GGTLC3
Ggt1	GGT2
Aoc2	AOC2
4931408C20Rik	SPATA31A5
4931408C20Rik	SPATA31A3
Parva	PARVA
Sgms2	SGMS2
Frmpd4	FRMPD4
Crat	CRAT
Mycn	MYCN
Arhgef19	ARHGEF19
Mmp25	MMP25
Irx4	IRX4
Olfr548-ps1	OR52B4
Ptpn13	PTPN13
Med15	MED15
Ceacam11	CEACAM4
Ceacam11	CEACAM7
Ceacam11	CEACAM5
Ceacam11	CEACAM6
Batf2	BATF2
Cln6	CLN6
Tmed10	TMED10
Psg16	CEACAM4
Psg16	CEACAM7
Psg16	CEACAM5
Psg16	CEACAM6
Tas2r119	TAS2R1
Apcdd1	APCDD1
Nhlrc2	NHLRC2
Abhd4	ABHD4
Tmem51	TMEM51
Stom	STOM
Sra1	SRA1
Acot13	ACOT13
Ceacam12	CEACAM4
Ceacam12	CEACAM7
Ceacam12	CEACAM5
Ceacam12	CEACAM6
Nol7	NOL7
Fchsd1	FCHSD1
Gm7579	KRTAP5-6
Smco4	SMCO4
Ptpa	PTPA
7420426K07Rik	PRR23A
7420426K07Rik	PRR23B
7420426K07Rik	PRR23C
Ggnbp2	GGNBP2
Dad1	DAD1
C2cd4c	C2CD4C
Prlr	PRLR
Ccdc152	CCDC152
Tnfrsf22	TNFRSF10B
Htr1a	HTR1A
Spink2	SPINK2
Rnft1	RNFT1
Sbno2	SBNO2
Trpa1	TRPA1
Gas7	GAS7
Spint4	SPINT4
C4b	C4A
Cdca7l	CDCA7L
Myo10	MYO10
Swap70	SWAP70
Stxbp5	STXBP5
Psg19	CEACAM4
Psg19	CEACAM7
Psg19	CEACAM5
Psg19	CEACAM6
Tmem259	TMEM259
Rhbdl1	RHBDL1
Tmem147	TMEM147
Rgs3	RGS3
Dnajb5	DNAJB5
Abhd14b	ABHD14B
Ceacam13	CEACAM4
Ceacam13	CEACAM7
Ceacam13	CEACAM5
Ceacam13	CEACAM6
Majin	MAJIN
Grm5	GRM5
Trit1	TRIT1
Folr1	FOLR1
Plpp1	PLPP1
Tmc6	TMC6
Dcxr	DCXR
Aoc3	AOC3
Ranbp9	RANBP9
Tnrc6c	TNRC6C
Alg5	ALG5
Lias	LIAS
Spcs2	SPCS2
Supt20	SUPT20H
Egfl8	EGFL8
Ndufs6	NDUFS6
Pin1rt1	PIN1
Shq1	SHQ1
Grem1	GREM1
Slitrk3	SLITRK3
Actl7a	ACTL7A
Tnfrsf23	TNFRSF10B
Prr23a3	PRR23A
Prr23a3	PRR23B
Prr23a3	PRR23C
Pcsk4	PCSK4
Nefh	NEFH
Gm906	SPATA31A5
Gm906	SPATA31A3
Mtfr1	MTFR1
Chd6	CHD6
Fam228a	FAM228A
Iglc4	IGLC1
Iglc4	IGLL5
Iglc4	IGLC2
Iglc4	IGLC3
Rph3al	RPH3AL
Zc2hc1c	ZC2HC1C
Adam21	ADAM21
Psd3	PSD3
Hif3a	HIF3A
Zc2hc1b	ZC2HC1B
Satb1	SATB1
Cacna1a	CACNA1A
Asf1b	ASF1B
Olfr556	OR52I2
Olfr556	OR52I1
Iglc2	IGLC1
Iglc2	IGLL5
Iglc2	IGLC2
Iglc2	IGLC3
Gpr62	GPR62
Isx	ISX
1110004F10Rik	C11orf58
Psg20	CEACAM4
Psg20	CEACAM7
Psg20	CEACAM5
Psg20	CEACAM6
Ttc7b	TTC7B
Fam213a	PRXL2A
Car12	CA12
Zfp160	ZNF665
Sucla2	SUCLA2
Dpf2	DPF2
Arl2	ARL2
Arl2	ARL2-SNX15
Usp29	USP29
Rbbp7	RBBP7
Acyp1	ACYP1
Lrriq4	LRRIQ4
Hoxa10	HOXA10
Psg29	CEACAM4
Psg29	CEACAM7
Psg29	CEACAM5
Psg29	CEACAM6
Tbl1x	TBL1X
Sh2d7	SH2D7
Nelfa	NELFA
Neil2	NEIL2
Gm13547	GOLGA8S
Gm13547	GOLGA6C
Gm13547	GOLGA6D
Sf3b6	SF3B6
Rpl3	RPL3
Prr23a1	PRR23A
Prr23a1	PRR23B
Prr23a1	PRR23C
Ntsr1	NTSR1
Plekhh2	PLEKHH2
Cryl1	CRYL1
Gramd1a	GRAMD1A
Zfp819	ZNF510
Polr3k	POLR3K
Ulbp1	RAET1L
Aurka	AURKA
Spaca6	SPACA6
Rhag	RHAG
Ppt2	PPT2-EGFL8
Ppt2	PPT2
Gm45337	KRTAP5-6
Gapdhs	GAPDHS
Grin3b	GRIN3B
Defb34	DEFB132
Nwd1	NWD1
Adam20	ADAM20
Lars2	LARS2
Slc43a1	SLC43A1
Mapk10	MAPK10
Mrpl36	MRPL36
Prps2	PRPS2
Rgs7bp	RGS7BP
Wfdc11	WFDC11
Sulf2	SULF2
Rell2	RELL2
Rhobtb2	RHOBTB2
Snx15	SNX15
Tbc1d21	TBC1D21
Adam25	ADAM20
Psg17	CEACAM4
Psg17	CEACAM7
Psg17	CEACAM5
Psg17	CEACAM6
Mapre1	MAPRE1
Gprin2	GPRIN2
Slco2a1	SLCO2A1
Pde5a	PDE5A
Inhba	INHBA
Kazn	KAZN
Pum1	PUM1
Slc6a12	SLC6A12
Ogfr	OGFR
Epha2	EPHA2
Ddx58	DDX58
Iyd	IYD
Arhgef10l	ARHGEF10L
Tmx3	TMX3
P2rx5	P2RX5
Camk4	CAMK4
Cchcr1	CCHCR1
Lamb2	LAMB2
Tubb2a	TUBB2A
Defb22	DEFB127
Defb22	DEFB132
Samd7	SAMD7
Rnf180	RNF180
Defb15	DEFB132
Snx31	SNX31
Dclre1a	DCLRE1A
Tmem74b	TMEM74B
Stoml1	STOML1
Klhl28	KLHL28
Lhx2	LHX2
Ctsd	CTSD
BC052040	C15orf41
Umps	UMPS
Sac3d1	SAC3D1
Ngfr	NGFR
Fscn2	FSCN2
Kctd14	KCTD14
Tapt1	TAPT1
Cdc45	CDC45
Itch	ITCH
Cdk11b	CDK11B
Mitf	MITF
Egr3	EGR3
G6pc	G6PC
Gm597	SPATA31A5
Gm597	SPATA31A3
Trim21	TRIM21
Rusc2	RUSC2
Arl4d	ARL4D
Mbip	MBIP
Pias1	PIAS1
Cdh22	CDH22
Actl7b	ACTL7B
Pdgfb	PDGFB
Anxa8	ANXA8L1
Psg22	CEACAM4
Psg22	CEACAM7
Psg22	CEACAM5
Psg22	CEACAM6
Dmrtb1	DMRTB1
Thrsp	THRSP
Galnt14	GALNT14
Adam39	ADAM20
Cers1	CERS1
Cers1	GDF1
Gm39115	KRTAP5-6
Fam170b	FAM170B
Mms19	MMS19
Oxsr1	OXSR1
Vps53	VPS53
Sash1	SASH1
Topors	TOPORS
Gm5155	CEACAM3
Sit1	SIT1
Psg27	CEACAM3
Jarid2	JARID2
Gm21969	IFFO2
Eif2s3y	EIF2S3
Clic5	CLIC5
Gm17359	C4orf45
Gmnn	GMNN
Fdft1	FDFT1
Lipg	LIPG
Ercc6	ERCC6
Zfp459	ZNF845
Psg28	CEACAM3
Calm2	CALM2
Slc25a45	SLC25A45
Sema4b	SEMA4B
Szrd1	SZRD1
Zcchc3	ZCCHC3
Ceacam14	CEACAM3
Zfp729a	ZNF845
Nek6	NEK6
Mxd3	MXD3
Mbd3l1	MBD3L1
Snrpn	SNRPN
Dhx8	DHX8
BC048562	C3orf84
Glt8d1	GLT8D1
Peg12	FRAT1
Oxld1	OXLD1
Frmd8	FRMD8
Irf4	IRF4
Cpxm1	CPXM1
Nhlrc1	NHLRC1
Fgfbp3	FGFBP3
Ndufb6	NDUFB6
Pcdha2	PCDHA2
Ceacam3	CEACAM3
Zfp558	ZNF558
Spns3	SPNS3
Eif3j1	EIF3J
Spry2	SPRY2
Kdsr	KDSR
Cplx3	CPLX3
Nek4	NEK4
Rbbp6	RBBP6
Poln	POLN
Pkhd1l1	PKHD1L1
Upb1	UPB1
Slc6a11	SLC6A11
Cdc14b	CDC14C
Slitrk1	SLITRK1
Zbtb48	ZBTB48
Angptl6	ANGPTL6
Mcfd2	MCFD2
Pou3f2	POU3F2
Hmox1	HMOX1
Ric1	RIC1
Napg	NAPG
Plagl1	PLAGL1
Wdr83	WDR83
Dhrs11	DHRS11
Sf3b5	SF3B5
BC004004	C6orf89
Enpp4	ENPP4
Slco2b1	SLCO2B1
Mms22l	MMS22L
Csnk1a1	CSNK1A1
Pla2g2a	PLA2G2A
Timm10	TIMM10
Cd83	CD83
Adgre5	ADGRE5
Stk38	STK38
Ube2g1	UBE2G1
Csnk1e	TPTEP2-CSNK1E
Csnk1e	CSNK1E
4930430A15Rik	POTEB2
Pde12	PDE12
Gp1bb	GP1BB
Sik1	SIK1
Cct5	CCT5
Cd59b	CD59
Eif5a	EIF5A
Prpf39	PRPF39
Nat8l	NAT8L
Cdk1	CDK1
Fpr-rs3	FPR3
Zfp213	ZNF213
Cdk8	CDK8
Gcm2	GCM2
Actl9	ACTL9
1700125H20Rik	C17orf64
Cpne5	CPNE5
Nipal2	NIPAL2
Hrh4	HRH4
Nol9	NOL9
Gm2431	KRTAP5-8
Elovl5	ELOVL5
Nrsn2	NRSN2
Plgrkt	PLGRKT
March5	MARCH5
Acsbg2	ACSBG2
Hoxa11	HOXA11
Ehd3	EHD3
Adad1	ADAD1
Nprl3	NPRL3
Crisp2	CRISP2
Ccdc9	CCDC9
Crisp4	CRISP1
Sdcbp2	SDCBP2
Etv4	ETV4
Cntnap3	CNTNAP3C
Rassf10	RASSF10
Tkfc	TKFC
Pcyox1l	PCYOX1L
Olfr566	OR51F1
Rab11fip3	RAB11FIP3
Il17b	IL17B
Ube2l6	UBE2L6
Fam107a	FAM107A
Pcdha3	PCDHA3
Nck1	NCK1
Clp1	CLP1
Med17	MED17
Aoah	AOAH
Tnfrsf26	TNFRSF10C
Sox1	SOX1
Pfkp	PFKP
Lig1	LIG1
Spata21	SPATA21
Muc13	MUC13
Rbp1	RBP1
Klhdc8b	KLHDC8B
Mfsd12	MFSD12
Taf1	TAF1L
Iglc1	IGLC7
Rapgef5	RAPGEF5
Amacr	AMACR
Eif3g	EIF3G
Socs5	SOCS5
Acox2	ACOX2
Fam155a	FAM155A
Rln1	RLN2
Rln1	RLN1
Vmn1r236	VN1R4
Pm20d2	PM20D2
Me1	ME1
Tdpoz1	SPOP
Sacm1l	SACM1L
Ndn	NDN
Ube2j1	UBE2J1
Snrnp40	SNRNP40
Gpr160	GPR160
Mycbp2	MYCBP2
Ndc1	NDC1
4930467E23Rik	POTEB2
Sae1	SAE1
Tyro3	TYRO3
Agpat1	AGPAT1
Cnp	CNP
Enpp5	ENPP5
Cd72	CD72
Xiap	BIRC8
Ccne1	CCNE1
Faap100	FAAP100
Zfp13	ZNF205
Kctd12	KCTD12
Gfm2	GFM2
Usp32	USP32
Setd4	SETD4
A26c2	POTEB2
Pgk2	PGK2
Tex2	TEX2
Gm15319	POTEB2
Nrg3	NRG3
Atg5	ATG5
Mis12	MIS12
Ffar1	FFAR1
Cd44	CD44
Mbd3	MBD3
Nkx2-1	NKX2-1
Fam171a2	FAM171A2
Olfr577	OR51G2
Oit1	FAM3D
Cep295	CEP295
Mfsd11	MFSD11
Eif2b4	EIF2B4
Oxa1l	OXA1L
Tas1r1	TAS1R1
Gnas	GNAS
Gm1673	C4orf48
Slc22a13b-ps	SLC22A13
Haus5	HAUS5
Slc7a7	SLC7A7
Grpel2	GRPEL2
Slc35f2	SLC35F2
Cntn3	CNTN3
Cdc34b	CDC34
Rps13	RPS13
Muc20	MUC20
Spef2	SPEF2
C3	C3
Cldn18	CLDN18
Gm4778	SPOP
Mak	MAK
Kctd15	KCTD15
Pou4f3	POU4F3
Eno3	ENO3
Tm6sf1	TM6SF1
Fam169a	FAM169A
Tpgs1	TPGS1
Cyp19a1	CYP19A1
Lrch3	LRCH3
Gadl1	GADL1
Gm10696	SPOP
Xlr3c	FAM9C
Fam206a	FAM206A
Lhx1	LHX1
Tm7sf2	TM7SF2
Mpnd	MPND
Zfp236	ZNF236
Folr2	FOLR2
Ffar3	FFAR3
Ffar3	GPR42
Prrt3	PRRT3
Ndfip2	NDFIP2
