"","id","symbol","seqnames","strand","TSS","CAGE_representative_TSS","type"
"55","ENSG00000139193","CD27","chr12","+",6554033,6554121,"protein_coding"
"56","ENSG00000105851","PIK3CG","chr7","+",106505723,106505783,"protein_coding"
"57","ENSG00000020633","RUNX3","chr1","-",25291612,25256767,"protein_coding"
"58","ENSG00000010610","CD4","chr12","+",6896024,6898706,"protein_coding"
"59","ENSG00000140968","IRF8","chr16","+",85932409,85932768,"protein_coding"
"60","ENSG00000169896","ITGAM","chr16","+",31271311,31271296,"protein_coding"
"61","ENSG00000103653","CSK","chr15","+",75074398,75074429,"protein_coding"
"62","ENSG00000100351","GRAP2","chr22","+",40297086,40297184,"protein_coding"
"63","ENSG00000039068","CDH1","chr16","+",68771128,68771195,"protein_coding"
"64","ENSG00000125378","BMP4","chr14","-",54425479,54423542,"protein_coding"
"65","ENSG00000000938","FGR","chr1","-",27961788,27961654,"protein_coding"
"66","ENSG00000150093","ITGB1","chr10","-",33294720,33247148,"protein_coding"
"67","ENSG00000128604","IRF5","chr7","+",128577666,128578035,"protein_coding"
"68","ENSG00000142208","AKT1","chr14","-",105262088,105262085,"protein_coding"
"69","ENSG00000160791","CCR5","chr3","+",46412345,46412437,"protein_coding"
"70","ENSG00000113520","IL4","chr5","+",132009678,132009681,"protein_coding"
"71","ENSG00000160654","CD3G","chr11","+",118215059,118215059,"protein_coding"
"72","ENSG00000160683","CXCR5","chr11","+",118754475,118754606,"protein_coding"
"73","ENSG00000145675","PIK3R1","chr5","+",67511548,67511590,"protein_coding"
"74","ENSG00000122025","FLT3","chr13","-",28674729,28674708,"protein_coding"
"75","ENSG00000026508","CD44","chr11","+",35160417,35160718,"protein_coding"
"76","ENSG00000110448","CD5","chr11","+",60869867,60869961,"protein_coding"
"77","ENSG00000049768","FOXP3","chrX","-",49121288,49121172,"protein_coding"
"78","ENSG00000169429","CXCL8","chr4","+",74606223,74606286,"protein_coding"
"79","ENSG00000213658","LAT","chr16","+",28996147,28996482,"protein_coding"
"80","ENSG00000113916","BCL6","chr3","-",187463515,187463256,"protein_coding"
"81","ENSG00000158869","FCER1G","chr1","+",161185024,161185085,"protein_coding"
"82","ENSG00000005249","PRKAR2B","chr7","+",106685094,106685151,"protein_coding"
"83","ENSG00000166501","PRKCB","chr16","+",23847322,23847304,"protein_coding"
"84","ENSG00000102245","CD40LG","chrX","+",135730352,135730341,"protein_coding"
"85","ENSG00000113263","ITK","chr5","+",156569944,156607851,"protein_coding"
"86","ENSG00000065675","PRKCQ","chr10","-",6622263,6622238,"protein_coding"
"87","ENSG00000140678","ITGAX","chr16","+",31366455,31366510,"protein_coding"
"88","ENSG00000105974","CAV1","chr7","+",116164839,116166416,"protein_coding"
"89","ENSG00000125845","BMP2","chr20","+",6748311,6748333,"protein_coding"
"90","ENSG00000072274","TFRC","chr3","-",195809060,195808961,"protein_coding"
"91","ENSG00000140564","FURIN","chr15","+",91411822,91411822,"protein_coding"
"92","ENSG00000126561","STAT5A","chr17","+",40439565,40440516,"protein_coding"
"93","ENSG00000143878","RHOB","chr2","+",20646835,20646835,"protein_coding"
"94","ENSG00000147044","CASK","chrX","-",41782716,41782736,"protein_coding"
"95","ENSG00000115232","ITGA4","chr2","+",182321929,182322113,"protein_coding"
"96","ENSG00000170458","CD14","chr5","-",140013286,140012760,"protein_coding"
"97","ENSG00000057657","PRDM1","chr6","+",106534195,106534211,"protein_coding"
"98","ENSG00000136573","BLK","chr8","+",11351510,11351919,"protein_coding"
"99","ENSG00000121691","CAT","chr11","+",34460472,34460481,"protein_coding"
"100","ENSG00000089094","KDM2B","chr12","-",122018920,122018151,"protein_coding"
"101","ENSG00000121807","CCR2","chr3","+",46395225,46395617,"protein_coding"
"102","ENSG00000159216","RUNX1","chr21","-",37376965,36260990,"protein_coding"
"103","ENSG00000065135","GNAI3","chr1","+",110091233,110091257,"protein_coding"
"104","ENSG00000115904","SOS1","chr2","-",39351486,39348176,"protein_coding"
"105","ENSG00000197122","SRC","chr20","+",35973088,35974543,"protein_coding"
"106","ENSG00000197471","SPN","chr16","+",29674300,29674568,"protein_coding"
"107","ENSG00000073861","TBX21","chr17","+",45810610,45810602,"protein_coding"
"108","ENSG00000154229","PRKCA","chr17","+",64298754,64298734,"protein_coding"
"109","ENSG00000134242","PTPN22","chr1","-",114414381,114414334,"protein_coding"
"110","ENSG00000166825","ANPEP","chr15","-",90358633,90358084,"protein_coding"
"111","ENSG00000141968","VAV1","chr19","+",6772725,6772722,"protein_coding"
"112","ENSG00000123374","CDK2","chr12","+",56360553,56360614,"protein_coding"
"113","ENSG00000121966","CXCR4","chr2","-",136875735,136875719,"protein_coding"
"114","ENSG00000135218","CD36","chr7","+",79998891,80267958,"protein_coding"
"115","ENSG00000164305","CASP3","chr4","-",185570663,185570601,"protein_coding"
"116","ENSG00000111679","PTPN6","chr12","+",7055631,7060519,"protein_coding"
"117","ENSG00000112149","CD83","chr6","+",14117487,14118003,"protein_coding"
"118","ENSG00000167286","CD3D","chr11","-",118213459,118213370,"protein_coding"
"119","ENSG00000004468","CD38","chr4","+",15779898,15779951,"protein_coding"
"120","ENSG00000169083","AR","chrX","+",66763874,66763875,"protein_coding"
"121","ENSG00000147010","SH3KBP1","chrX","-",19905719,19905672,"protein_coding"
"122","ENSG00000107485","GATA3","chr10","+",8095567,8096651,"protein_coding"
"123","ENSG00000117091","CD48","chr1","-",160681641,160681612,"protein_coding"
"124","ENSG00000012124","CD22","chr19","+",35810164,35820090,"protein_coding"
"125","ENSG00000146648","EGFR","chr7","+",55086714,55086710,"protein_coding"
"126","ENSG00000169398","PTK2","chr8","-",142012315,142011328,"protein_coding"
"127","ENSG00000172936","MYD88","chr3","+",38179969,38180152,"protein_coding"
"128","ENSG00000110848","CD69","chr12","-",9913497,9913497,"protein_coding"
"129","ENSG00000007312","CD79B","chr17","-",62009714,62009691,"protein_coding"
"130","ENSG00000196664","TLR7","chrX","+",12885202,12885191,"protein_coding"
"131","ENSG00000138795","LEF1","chr4","-",109090112,109087457,"protein_coding"
"132","ENSG00000245848","CEBPA","chr19","-",33793470,33793440,"protein_coding"
"133","ENSG00000105329","TGFB1","chr19","-",41859816,41859827,"protein_coding"
"134","ENSG00000185811","IKZF1","chr7","+",50343720,50344312,"protein_coding"
"135","ENSG00000168918","INPP5D","chr2","+",233924677,233925052,"protein_coding"
"136","ENSG00000132510","KDM6B","chr17","+",7743222,7747519,"protein_coding"
"137","ENSG00000067560","RHOA","chr3","-",49450431,49449406,"protein_coding"
"138","ENSG00000080824","HSP90AA1","chr14","-",102606036,102553381,"protein_coding"
"139","ENSG00000188389","PDCD1","chr2","-",242801060,242801041,"protein_coding"
"140","ENSG00000121281","ADCY7","chr16","+",50280048,50300462,"protein_coding"
"141","ENSG00000118503","TNFAIP3","chr6","+",138188325,138188396,"protein_coding"
"142","ENSG00000163823","CCR1","chr3","-",46249887,46249803,"protein_coding"
"143","ENSG00000259207","ITGB3","chr17","+",45331212,45331193,"protein_coding"
"144","ENSG00000177455","CD19","chr16","+",28943260,28943297,"protein_coding"
"145","ENSG00000069956","MAPK6","chr15","+",52244303,52311426,"protein_coding"
"146","ENSG00000135363","LMO2","chr11","-",33913836,33891414,"protein_coding"
"147","ENSG00000122877","EGR2","chr10","-",64679660,64576126,"protein_coding"
"148","ENSG00000137462","TLR2","chr4","+",154622652,154622652,"protein_coding"
"149","ENSG00000131323","TRAF3","chr14","+",103243813,103243942,"protein_coding"
"150","ENSG00000188906","LRRK2","chr12","+",40590546,40618799,"protein_coding"
"151","ENSG00000074266","EED","chr11","+",85955586,85955831,"protein_coding"
"152","ENSG00000177606","JUN","chr1","-",59249999,59249719,"protein_coding"
"153","ENSG00000125347","IRF1","chr5","-",131826490,131826465,"protein_coding"
"154","ENSG00000064012","CASP8","chr2","+",202098166,202125286,"protein_coding"
"155","ENSG00000123104","ITPR2","chr12","-",26986131,26986126,"protein_coding"
"156","ENSG00000172116","CD8B","chr2","-",87089047,87089009,"protein_coding"
"157","ENSG00000011600","TYROBP","chr19","-",36399197,36399197,"protein_coding"
"158","ENSG00000137841","PLCB2","chr15","-",40600136,40600136,"protein_coding"
"159","ENSG00000164171","ITGA2","chr5","+",52285156,52285183,"protein_coding"
"160","ENSG00000115414","FN1","chr2","-",216300895,216300791,"protein_coding"
"161","ENSG00000169047","IRS1","chr2","-",227664475,227664529,"protein_coding"
"162","ENSG00000117090","SLAMF1","chr1","-",160617085,160616812,"protein_coding"
"163","ENSG00000186827","TNFRSF4","chr1","-",1149518,1149533,"protein_coding"
"164","ENSG00000018280","SLC11A1","chr2","+",219246752,219246996,"protein_coding"
"165","ENSG00000112576","CCND3","chr6","-",42018095,41909511,"protein_coding"
"166","ENSG00000137752","CASP1","chr11","-",104905977,104905870,"protein_coding"
"167","ENSG00000120949","TNFRSF8","chr1","+",12123434,12123360,"protein_coding"
"168","ENSG00000100453","GZMB","chr14","-",25103473,25103396,"protein_coding"
"169","ENSG00000065361","ERBB3","chr12","+",56473641,56473956,"protein_coding"
"170","ENSG00000100385","IL2RB","chr22","-",37571094,37545956,"protein_coding"
"171","ENSG00000141506","PIK3R5","chr17","-",8869029,8869024,"protein_coding"
"172","ENSG00000124762","CDKN1A","chr6","+",36644237,36646491,"protein_coding"
"173","ENSG00000164691","TAGAP","chr6","-",159466184,159466023,"protein_coding"
"174","ENSG00000108946","PRKAR1A","chr17","+",66507921,66508571,"protein_coding"
"175","ENSG00000082074","FYB","chr5","-",39274630,39219665,"protein_coding"
"176","ENSG00000010278","CD9","chr12","+",6308881,6309566,"protein_coding"
"177","ENSG00000120063","GNA13","chr17","-",63052957,63052858,"protein_coding"
"178","ENSG00000081059","TCF7","chr5","+",133450402,133450386,"protein_coding"
"179","ENSG00000136244","IL6","chr7","+",22765503,22766819,"protein_coding"
"180","ENSG00000173585","CCR9","chr3","+",45927996,45928042,"protein_coding"
"181","ENSG00000137193","PIM1","chr6","+",37137979,37137954,"protein_coding"
"182","ENSG00000130522","JUND","chr19","-",18392432,18392432,"protein_coding"
"183","ENSG00000120217","CD274","chr9","+",5450503,5450542,"protein_coding"
"184","ENSG00000101336","HCK","chr20","+",30639991,30640045,"protein_coding"
"185","ENSG00000172216","CEBPB","chr20","+",48807271,48807367,"protein_coding"
"186","ENSG00000179583","CIITA","chr16","+",10971055,10971059,"protein_coding"
"187","ENSG00000096996","IL12RB1","chr19","-",18209754,18197741,"protein_coding"
"188","ENSG00000186469","GNG2","chr14","+",52292913,52327330,"protein_coding"
"189","ENSG00000169750","RAC3","chr17","+",79989500,79989583,"protein_coding"
"190","ENSG00000082458","DLG3","chrX","+",69664711,69675027,"protein_coding"
"191","ENSG00000184557","SOCS3","chr17","-",76356158,76356158,"protein_coding"
"192","ENSG00000174125","TLR1","chr4","-",38858438,38806412,"protein_coding"
"193","ENSG00000090104","RGS1","chr1","+",192544857,192544905,"protein_coding"
"194","ENSG00000124813","RUNX2","chr6","+",45295894,45296067,"protein_coding"
"195","ENSG00000171596","NMUR1","chr2","-",232395206,232395153,"protein_coding"
"196","ENSG00000100985","MMP9","chr20","+",44637547,44637547,"protein_coding"
"197","ENSG00000150681","RGS18","chr1","+",192127587,192127592,"protein_coding"
"198","ENSG00000179348","GATA2","chr3","-",128212028,128212043,"protein_coding"
"199","ENSG00000017427","IGF1","chr12","-",102874423,102874341,"protein_coding"
"200","ENSG00000147168","IL2RG","chrX","-",70331958,70331425,"protein_coding"
"201","ENSG00000183625","CCR3","chr3","+",46205096,46283951,"protein_coding"
"202","ENSG00000173744","AGFG1","chr2","+",228336868,228336878,"protein_coding"
"203","ENSG00000070831","CDC42","chr1","+",22379120,22379202,"protein_coding"
"204","ENSG00000010671","BTK","chrX","-",100645784,100641179,"protein_coding"
"205","ENSG00000136167","LCP1","chr13","-",46786006,46756310,"protein_coding"
"206","ENSG00000143226","FCGR2A","chr1","+",161475220,161475247,"protein_coding"
"207","ENSG00000150637","CD226","chr18","-",67629039,67615109,"protein_coding"
"208","ENSG00000149269","PAK1","chr11","-",77185680,77122997,"protein_coding"
"209","ENSG00000168610","STAT3","chr17","-",40540586,40540460,"protein_coding"
"210","ENSG00000060558","GNA15","chr19","+",3136191,3136240,"protein_coding"
"211","ENSG00000102882","MAPK3","chr16","-",30134827,30134540,"protein_coding"
"212","ENSG00000043462","LCP2","chr5","-",169725231,169724781,"protein_coding"
"213","ENSG00000181467","RAP2B","chr3","+",152880059,152880030,"protein_coding"
"214","ENSG00000160255","ITGB2","chr21","-",46351904,46340814,"protein_coding"
"215","ENSG00000144118","RALB","chr2","+",120997640,121010507,"protein_coding"
"216","ENSG00000170989","S1PR1","chr1","+",101702444,101702457,"protein_coding"
"217","ENSG00000008853","RHOBTB2","chr8","+",22844930,22857061,"protein_coding"
"218","ENSG00000136997","MYC","chr8","+",128747680,128748477,"protein_coding"
"219","ENSG00000107643","MAPK8","chr10","+",49514682,49514723,"protein_coding"
"220","ENSG00000170315","UBB","chr17","+",16284112,16284409,"protein_coding"
"221","ENSG00000196396","PTPN1","chr20","+",49126858,49126920,"protein_coding"
"222","ENSG00000110324","IL10RA","chr11","+",117857063,117857109,"protein_coding"
"223","ENSG00000103769","RAB11A","chr15","+",66018392,66161829,"protein_coding"
"224","ENSG00000035403","VCL","chr10","+",75754951,75757874,"protein_coding"
"225","ENSG00000106952","TNFSF8","chr9","-",117692875,117692564,"protein_coding"
"226","ENSG00000163519","TRAT1","chr3","+",108541545,108541633,"protein_coding"
"227","ENSG00000168283","BMI1","chr10","+",22610140,22610028,"protein_coding"
"228","ENSG00000103522","IL21R","chr16","+",27413483,27413495,"protein_coding"
"229","ENSG00000204257","HLA-DMA","chr6","-",32936871,32920828,"protein_coding"
"230","ENSG00000076928","ARHGEF1","chr19","+",42387228,42387267,"protein_coding"
"231","ENSG00000197535","MYO5A","chr15","-",52821247,52821077,"protein_coding"
"232","ENSG00000099250","NRP1","chr10","-",33625190,33623794,"protein_coding"
"233","ENSG00000116815","CD58","chr1","-",117113661,117113616,"protein_coding"
"234","ENSG00000056558","TRAF1","chr9","-",123691451,123691349,"protein_coding"
"235","ENSG00000168036","CTNNB1","chr3","+",41236328,41240996,"protein_coding"
"236","ENSG00000170027","YWHAG","chr7","-",75988348,75988306,"protein_coding"
"237","ENSG00000172215","CXCR6","chr3","+",45982425,45984956,"protein_coding"
"238","ENSG00000081913","PHLPP1","chr18","+",60382683,60382774,"protein_coding"
"239","ENSG00000185386","MAPK11","chr22","-",50709196,50708806,"protein_coding"
"240","ENSG00000162772","ATF3","chr1","+",212738676,212782103,"protein_coding"
"241","ENSG00000167207","NOD2","chr16","+",50727514,50727526,"protein_coding"
"242","ENSG00000170365","SMAD1","chr4","+",146402346,146403005,"protein_coding"
"243","ENSG00000134954","ETS1","chr11","-",128457453,128392193,"protein_coding"
"244","ENSG00000129226","CD68","chr17","+",7482785,7482956,"protein_coding"
"245","ENSG00000114423","CBLB","chr3","-",105588396,105587856,"protein_coding"
"246","ENSG00000027697","IFNGR1","chr6","-",137540586,137540495,"protein_coding"
"247","ENSG00000040199","PHLPP2","chr16","-",71758604,71757788,"protein_coding"
"248","ENSG00000177272","KCNA3","chr1","-",111217655,111217562,"protein_coding"
"249","ENSG00000137265","IRF4","chr6","+",391739,391752,"protein_coding"
"250","ENSG00000097007","ABL1","chr9","+",133589333,133710668,"protein_coding"
"251","ENSG00000076641","PAG1","chr8","-",82024303,82024303,"protein_coding"
"252","ENSG00000173175","ADCY5","chr3","-",123168605,123168601,"protein_coding"
"253","ENSG00000178562","CD28","chr2","+",204571198,204571362,"protein_coding"
"254","ENSG00000115008","IL1A","chr2","-",113542167,113542070,"protein_coding"
"255","ENSG00000187239","FNBP1","chr9","-",132805473,132805446,"protein_coding"
"256","ENSG00000137801","THBS1","chr15","+",39873280,39873280,"protein_coding"
"257","ENSG00000135046","ANXA1","chr9","+",75766673,75766781,"protein_coding"
"258","ENSG00000127314","RAP1B","chr12","+",69004619,69004679,"protein_coding"
"259","ENSG00000204252","HLA-DOA","chr6","-",32977389,32977353,"protein_coding"
"260","ENSG00000117560","FASLG","chr1","+",172628158,172628243,"protein_coding"
"261","ENSG00000133703","KRAS","chr12","-",25403870,25403863,"protein_coding"
"262","ENSG00000099985","OSM","chr22","-",30662829,30662840,"protein_coding"
"263","ENSG00000116701","NCF2","chr1","-",183560011,183559594,"protein_coding"
"264","ENSG00000090339","ICAM1","chr19","+",10381511,10381796,"protein_coding"
"265","ENSG00000183943","PRKX","chrX","-",3631649,3631667,"protein_coding"
"266","ENSG00000173762","CD7","chr17","-",80275478,80275453,"protein_coding"
"267","ENSG00000136205","TNS3","chr7","-",47622156,47621709,"protein_coding"
"268","ENSG00000074966","TXK","chr4","-",48136273,48136267,"protein_coding"
"269","ENSG00000197971","MBP","chr18","-",74845639,74729011,"protein_coding"
"270","ENSG00000105810","CDK6","chr7","-",92465908,92465883,"protein_coding"
"271","ENSG00000140379","BCL2A1","chr15","-",80263788,80263525,"protein_coding"
"272","ENSG00000116675","DNAJC6","chr1","+",65713902,65720145,"protein_coding"
"273","ENSG00000182621","PLCB1","chr20","+",8095100,8112913,"protein_coding"
"274","ENSG00000028137","TNFRSF1B","chr1","+",12227060,12227048,"protein_coding"
"275","ENSG00000174233","ADCY6","chr12","-",49182820,49182872,"protein_coding"
"276","ENSG00000126583","PRKCG","chr19","+",54382444,54385453,"protein_coding"
"277","ENSG00000139626","ITGB7","chr12","-",53601091,53601035,"protein_coding"
"278","ENSG00000006451","RALA","chr7","+",39663082,39663171,"protein_coding"
"279","ENSG00000171522","PTGER4","chr5","+",40679600,40680017,"protein_coding"
"280","ENSG00000183813","CCR4","chr3","+",32993066,32993136,"protein_coding"
"281","ENSG00000101096","NFATC2","chr20","-",50179370,50159238,"protein_coding"
"282","ENSG00000196498","NCOR2","chr12","-",125052135,124873370,"protein_coding"
"283","ENSG00000169826","CSGALNACT2","chr10","+",43633934,43633893,"protein_coding"
"284","ENSG00000156127","BATF","chr14","+",75988768,75988812,"protein_coding"
"285","ENSG00000141736","ERBB2","chr17","+",37844167,37856317,"protein_coding"
"286","ENSG00000185697","MYBL1","chr8","-",67526482,67525489,"protein_coding"
"287","ENSG00000090376","IRAK3","chr12","+",66582659,66583071,"protein_coding"
"288","ENSG00000183258","DDX41","chr5","-",176944470,176943962,"protein_coding"
"289","ENSG00000179344","HLA-DQB1","chr6","-",32636160,32634434,"protein_coding"
"290","ENSG00000198121","LPAR1","chr9","-",113800738,113800750,"protein_coding"
"291","ENSG00000161921","CXCL16","chr17","-",4643217,4643223,"protein_coding"
"292","ENSG00000100345","MYH9","chr22","-",36784063,36784012,"protein_coding"
"293","ENSG00000142192","APP","chr21","-",27543446,27543084,"protein_coding"
"294","ENSG00000121879","PIK3CA","chr3","+",178865902,178866145,"protein_coding"
"295","ENSG00000156711","MAPK13","chr6","+",36095586,36098298,"protein_coding"
"296","ENSG00000171223","JUNB","chr19","+",12902310,12902300,"protein_coding"
"297","ENSG00000100292","HMOX1","chr22","+",35776354,35777089,"protein_coding"
"298","ENSG00000104814","MAP4K1","chr19","-",39109522,39108592,"protein_coding"
"299","ENSG00000198771","RCSD1","chr1","+",167599330,167599498,"protein_coding"
"300","ENSG00000118515","SGK1","chr6","-",134639250,134496002,"protein_coding"
"301","ENSG00000149294","NCAM1","chr11","+",112831969,112832142,"protein_coding"
"302","ENSG00000186951","PPARA","chr22","+",46546424,46546429,"protein_coding"
"303","ENSG00000197442","MAP3K5","chr6","-",137113656,137113544,"protein_coding"
"304","ENSG00000168214","RBPJ","chr4","+",26165077,26322636,"protein_coding"
"305","ENSG00000090382","LYZ","chr12","+",69742121,69742161,"protein_coding"
"306","ENSG00000159840","ZYX","chr7","+",143078173,143078440,"protein_coding"
"307","ENSG00000127528","KLF2","chr19","+",16435628,16435637,"protein_coding"
"308","ENSG00000023445","BIRC3","chr11","+",102188181,102188215,"protein_coding"
"309","ENSG00000126262","FFAR2","chr19","+",35934809,35939159,"protein_coding"
"310","ENSG00000104205","SGK3","chr8","+",67624653,67687440,"protein_coding"
"311","ENSG00000091831","ESR1","chr6","+",151977826,152128817,"protein_coding"
"312","ENSG00000176105","YES1","chr18","-",812547,812243,"protein_coding"
"313","ENSG00000126858","RHOT1","chr17","+",30469473,30469521,"protein_coding"
"314","ENSG00000188130","MAPK12","chr22","-",50700254,50700112,"protein_coding"
"315","ENSG00000148660","CAMK2G","chr10","-",75634349,75634301,"protein_coding"
"316","ENSG00000185499","MUC1","chr1","-",155162707,155162700,"protein_coding"
"317","ENSG00000110876","SELPLG","chr12","-",109027735,109027582,"protein_coding"
"318","ENSG00000099364","FBXL19","chr16","+",30934376,30934912,"protein_coding"
"319","ENSG00000172575","RASGRP1","chr15","-",38857776,38857006,"protein_coding"
"320","ENSG00000140030","GPR65","chr14","+",88471468,88471482,"protein_coding"
"321","ENSG00000124181","PLCG1","chr20","+",39765600,39766183,"protein_coding"
"322","ENSG00000064547","LPAR2","chr19","-",19739739,19739029,"protein_coding"
"323","ENSG00000158186","MRAS","chr3","+",138066490,138067421,"protein_coding"
"324","ENSG00000019991","HGF","chr7","-",81399754,81399363,"protein_coding"
"325","ENSG00000186716","BCR","chr22","+",23521891,23522717,"protein_coding"
"326","ENSG00000068831","RASGRP2","chr11","-",64512928,64511614,"protein_coding"
"327","ENSG00000110330","BIRC2","chr11","+",102217942,102217945,"protein_coding"
"328","ENSG00000171552","BCL2L1","chr20","-",30311792,30310671,"protein_coding"
"329","ENSG00000181104","F2R","chr5","+",76011868,76011960,"protein_coding"
"330","ENSG00000186265","BTLA","chr3","-",112218408,112218319,"protein_coding"
"331","ENSG00000187210","GCNT1","chr9","+",79034766,79074138,"protein_coding"
"332","ENSG00000163947","ARHGEF3","chr3","-",57113357,56835977,"protein_coding"
"333","ENSG00000120899","PTK2B","chr8","+",27168999,27183075,"protein_coding"
"334","ENSG00000081189","MEF2C","chr5","-",88200074,88179001,"protein_coding"
"335","ENSG00000101333","PLCB4","chr20","+",9049410,9049327,"protein_coding"
"336","ENSG00000143384","MCL1","chr1","-",150552214,150552086,"protein_coding"
"337","ENSG00000155366","RHOC","chr1","-",113250056,113249749,"protein_coding"
"338","ENSG00000137101","CD72","chr9","-",35646807,35646854,"protein_coding"
"339","ENSG00000101200","AVP","chr20","-",3065370,3065370,"protein_coding"
"340","ENSG00000087245","MMP2","chr16","+",55423612,55513110,"protein_coding"
"341","ENSG00000117984","CTSD","chr11","-",1785222,1785157,"protein_coding"
"342","ENSG00000120129","DUSP1","chr5","-",172198198,172198198,"protein_coding"
"343","ENSG00000186891","TNFRSF18","chr1","-",1142071,1141961,"protein_coding"
"344","ENSG00000197646","PDCD1LG2","chr9","+",5510570,5510531,"protein_coding"
"345","ENSG00000124721","DNAH8","chr6","+",38683117,38690684,"protein_coding"
"346","ENSG00000130203","APOE","chr19","+",45409011,45409053,"protein_coding"
"347","ENSG00000050748","MAPK9","chr5","-",179719099,179719083,"protein_coding"
"348","ENSG00000196092","PAX5","chr9","-",37034182,37034473,"protein_coding"
"349","ENSG00000132170","PPARG","chr3","+",12328867,12330569,"protein_coding"
"350","ENSG00000113721","PDGFRB","chr5","-",149535435,149535408,"protein_coding"
"351","ENSG00000110092","CCND1","chr11","+",69455855,69455924,"protein_coding"
"352","ENSG00000186635","ARAP1","chr11","-",72504644,72463453,"protein_coding"
"353","ENSG00000102145","GATA1","chrX","+",48644962,48644998,"protein_coding"
