chr	start	end	gene
chr17	42320753	42350509	SLC4A1
chr7	93048799	93209042	CALCR
chr17	7123660	7142864	DVL2
chr16	2897728	2913171	PRSS22
chr19	18937747	18984045	UPF1
chr7	26701681	27039858	SKAP2
chr4	110476361	110614874	CCDC109B
chr7	27216129	27229842	HOXA11
chr7	102108565	102124354	POLR2J
chr17	5339232	5377380	DHX33
chr17	41712756	41744322	MEOX1
chr7	11404984	11876824	THSD7A
chr17	33302513	33337083	LIG3
chr12	48052070	48104844	RPAP3
chr16	20616565	20813903	ACSM3
chr16	20812751	20865987	AC004381.6
chr16	57457081	57486440	CIAPIN1
chr9	35099109	35121338	FAM214B
chr17	46098533	46120392	COPZ2
chr7	106680094	106807256	PRKAR2B
chr16	3770055	3935727	CREBBP
chr17	56373592	56411152	BZRAP1
chr17	56342217	56363296	MPO
chr7	94921988	95030673	PON1
chr2	75874126	75943115	GCFC2
chr2	74643805	74657882	WDR54
chr7	86969997	87034111	CROT
chr7	87026013	87114751	ABCB4
chr7	104649626	104759808	KMT2E
chr7	75466920	75523244	RHBDD2
chr16	1026808	1041979	SOX8
chr6	82874700	82962471	IBTK
chr11	3355491	3405448	ZNF195
chr13	77613792	77906185	MYCBP2
chr13	77561740	77606330	FBXL3
chr16	30478979	30539506	ITGAL
chr17	48167101	48194516	PDK2
chr17	48128332	48172845	ITGA3
chr17	42444548	42471873	ITGA2B
chr7	95102756	95174544	ASB4
chr16	19508015	19538467	GDE1
chr19	18694495	18708146	C19orf60
chr19	18678030	18723551	CRLF1
chr17	45879738	45904200	OSBPL7
chr17	31249928	31277124	TMEM98
chr17	7186571	7202934	YBX2
chr17	39497344	39512064	KRT33A
chr17	43335488	43399414	MAP3K14
chr11	17409432	17503449	ABCC8
chr16	24261874	24379122	CACNG3
chr11	60686935	60709631	TMEM132A
chr17	33900065	34058436	AP2B1
chr7	97356220	97374784	TAC1
chr16	3308743	3356401	ZNF263
chr16	57401370	57423960	CX3CL1
chr17	48615419	48638213	SPATA20
chr17	48633429	48709835	CACNA1G
chr16	3063446	3077384	TNFRSF12A
chr7	96629860	96645351	DLX6
chr14	71184243	71281251	MAP3K9
chr7	39658082	39752723	RALA
chr7	97915963	98035380	BAIAP2L1
chr7	139779546	139881835	KDM7A
chr7	13925853	14036050	ETV1
chr7	141245989	141360044	AGK
chr11	67771048	67801744	ALDH3B1
chr1	55240385	55271940	TTC22
chr7	77423122	77591818	PHTF2
chr7	75393851	75424214	CCL26
chr2	242290658	242439256	FARP2
chr11	17510442	17570963	USH1C
chr7	30531237	30596095	GGCT
chr7	87500531	87543856	DBF4
chr19	3589504	3611838	TBXA2R
chr7	112058023	112126072	IFRD1
chr19	40189946	40205084	LGALS14
chr17	13967813	14116994	COX10
chr7	73863120	74021931	GTF2IRD1
chr19	39871492	39886835	PAF1
chr7	38757563	38976994	VPS41
chr17	12687856	12899960	ARHGAP44
chr17	12890708	12926504	ELAC2
chr7	12605203	12698228	SCIN
chr17	10196401	10281447	MYH13
chr12	1792740	1902844	ADIPOR2
chr5	133536305	133711738	CDKL3
chr2	158728214	158997666	UPP2
chr16	2862164	2881305	PRSS21
chr19	45577546	45813541	MARK4
chr4	15959699	16091001	PROM1
chr19	18038825	18059800	CCDC124
chr19	42050886	42098197	CEACAM21
chr17	2491504	2593909	PAFAH1B1
chr17	26078792	26132525	NOS2
chr17	11496748	11878065	DNAH9
chr17	26936458	26977472	KIAA0100
chr17	26795311	26829799	SLC13A2
chr17	9808926	10106868	GAS7
chr19	45661186	45686495	TRAPPC6A
chr19	3772971	3807127	MATK
chr19	42172235	42215895	CEACAM7
chr17	62001100	62014714	CD79B
chr17	62010914	62055278	SCN4A
chr1	113061140	113168447	ST7L
chr11	31801340	31844509	PAX6
chr16	829974	843397	RPUSD1
chr16	103058	131354	RHBDF1
chr16	233968	284462	LUC7L
chr3	50395233	50546675	CACNA2D2
chr16	1378602	1404439	BAIAP3
chr16	1394241	1406912	TSR3
chr16	611995	639136	PIGQ
chr16	1657326	1732909	CRAMP1
chr6	35436374	35469853	TEAD3
chr1	169686781	169738846	SELE
chr1	6689228	6766984	DNAJC11
chr1	171055018	171091959	FMO3
chr6	16124356	16153479	MYLIP
chr1	23827922	23862712	E2F2
chr6	170839205	170867429	PSMB1
chr6	15241527	15527252	JARID2
chr1	209752062	209792283	CAMK1G
chr1	1629169	1660766	CDK11A
chr1	1677671	1716896	NADK
chr6	50781436	50820326	TFAP2B
chr6	50676541	50745701	TFAP2D
chr3	38075696	38170516	DLEC1
chr7	6196407	6317275	CYTH3
chr7	87558458	87837204	ADAM22
chr7	105725949	105758022	SYPL1
chr17	61504665	61528739	CYB561
chr17	49034535	49203226	SPAG9
chr3	48668902	48705348	CELSR3
chr7	121710701	121789334	AASS
chr12	6414602	6442672	PLEKHG6
chr3	42618332	42641606	SS18L2
chr19	4338524	4365083	MPND
chr12	16495076	16767193	MGST1
chr12	107380142	107492607	CRY1
chr19	46517411	46531323	PGLYRP1
chr19	13101422	13214610	NFIX
chr8	134462091	134589183	ST3GAL1
chr16	3091682	3115727	MMP25
chr16	3110298	3136908	IL32
chr16	2133711	2190899	PKD1
chr22	51034114	51057409	MAPK8IP2
chr17	38170350	38222468	MED24
chr8	22839930	22882712	RHOBTB2
chr2	37190526	37316485	HEATR5B
chr3	169679423	169721161	SEC62
chr8	56974854	56992069	RPS20
chr1	115254534	115306297	CSDE1
chr7	156926607	157067066	UBE3C
chr6	111615234	111809918	REV3L
chr1	18952500	19080360	PAX7
chr1	11081580	11112290	MASP2
chr6	150685028	150732105	IYD
chr1	28047490	28094633	FAM76A
chr1	209924377	209960668	TRAF3IP3
chr14	77736299	77792227	POMT2
chr6	142463367	142550826	VTA1
chr7	73002524	73043873	MLXIPL
chr7	72849728	72941608	BAZ1B
chr6	13616730	13716796	RANBP9
chr6	36317419	36361164	ETV7
chr1	231467850	231495769	SPRTN
chr1	171745788	171788163	METTL13
chr12	4666370	4728325	DYRK4
chr17	30672136	30713905	ZNF207
chr3	48631435	48653409	UQCRC1
chr7	38212824	38275272	STARD3NL
chr12	6303881	6352425	CD9
chr3	42729155	42749319	HHATL
chr12	6597522	6646121	NCAPD2
chr12	6642541	6670239	IFFO1
chr19	46166502	46191982	GIPR
chr3	52439673	52462657	PHF7
chr3	52462069	52484101	SEMA3G
chr3	52484134	52532087	NISCH
chr3	52524354	52563511	STAB1
chr19	50305126	50325633	FUZ
chr12	324789	377039	SLC6A13
chr9	33745515	33804230	PRSS3
chr16	3267325	3291221	ZNF200
chr12	6891024	6934974	CD4
chr12	6977733	7028407	LRRC23
chr6	26082509	26103571	HFE
chr1	41487872	41712826	SCMH1
chr6	111976535	112199655	FYN
chr6	143067604	143271338	HIVEP2
chr1	171212638	171260117	FMO1
chr1	24064645	24093549	TCEB3
chr1	24112460	24127029	LYPLA2
chr1	11861207	11908201	CLCN6
chr17	60699762	60775958	MRC2
chr5	149564520	149607351	SLC6A7
chr12	3181521	3400730	TSPAN9
chr14	93698896	93804438	BTBD7
chr19	3745817	3766697	APBA3
chr17	56277803	56301966	MKS1
chr3	43726605	43780863	ABHD5
chr19	15485859	15534952	AKAP8L
chr17	49249786	49342524	MBTD1
chr17	49332889	49380297	UTP18
chr7	5654678	5826370	RNF216
chr17	15897694	15953329	TTC19
chr19	792075	817327	PTBP1
chr19	38696646	38725354	DPF1
chr11	61277785	61353620	SYT7
chr3	45424998	45595913	LARS2
chr11	17094277	17234530	PIK3C2A
chr19	44145247	44179699	PLAUR
chr7	36424415	36498400	ANLN
chr19	15527319	15565762	WIZ
chr9	125698112	125872145	RABGAP1
chr12	91534025	91581900	DCN
chr19	46190741	46212247	QPCTL
chr19	46845251	46901238	PPP5C
chr2	65278500	65319138	CEP68
chr2	39471407	39669453	MAP4K3
chr19	36190429	36212940	ZBTB32
chr19	36390303	36404197	TYROBP
chr16	21164698	21196937	TMEM159
chr17	41191312	41282500	BRCA1
chr19	45905591	45987086	ERCC1
chr19	35805164	35843258	CD22
chr3	50299990	50319977	SEMA3B
chr3	46472136	46531724	LTF
chr8	28452986	28618116	EXTL3
chr12	100862486	100963191	NR1H4
chr6	53127196	53218947	ELOVL5
chr10	45864661	45946561	ALOX5
chr12	54099903	54126529	CALCOCO1
chr14	93668401	93700561	UBR7
chr14	50880219	51032844	MAP4K5
chr2	31451880	31497313	EHD3
chr19	40471912	40492348	PSMC4
chr4	6571902	6630089	MAN2B2
chr3	170172372	170308863	SLC7A14
chr3	170131653	170583169	CLDN11
chr17	42391993	42407238	SLC25A39
chr16	29826715	29864355	MVP
chr7	151033785	151080535	NUB1
chr6	83865869	83908655	PGM3
chr6	83898098	83913651	RWDD2A
chr2	201712732	201734422	CLK1
chr12	106746436	106908976	POLR3B
chr14	77248588	77297589	ANGEL1
chr5	141332893	141374856	RNF14
chr12	31221779	31262725	DDX11
chr12	13122798	13158207	HEBP1
chr12	13038716	13075871	GPRC5A
chr11	60734115	60792849	CD6
chr4	1718227	1751898	TACC3
chr6	96964471	97008152	UFL1
chr11	65024233	65078060	POLA2
chr8	144514825	144628623	ZC3H3
chr11	64943037	64984477	CAPN1
chr3	132031211	132092142	ACPP
chr2	63810743	63839331	MDH1
chr4	41987489	42097474	SLC30A9
chr1	149895543	149913791	MTMR11
chr10	101466601	101496857	COX15
chr14	91732667	91889188	CCDC88C
chr12	42545906	42637151	YAF2
chr10	175405	305577	ZMYND11
chr16	89674716	89709839	DPEP1
chr22	18211906	18262536	BID
chr5	138604441	138672360	MATR3
chr7	44547134	44585914	NPC1L1
chr17	48418453	48445499	XYLT2
chr2	110545335	110620272	RGPD5
chr8	27087840	27120937	STMN4
chr7	44413720	44535479	NUDCD3
chr5	50673921	50695564	ISL1
chr3	53841362	53885417	CHDH
chr6	137316108	137371298	IL20RA
chr1	86929051	86970972	CLCA1
chr1	87007761	87051437	CLCA4
chr3	52723505	52745048	GLT8D1
chr3	130564439	130740556	ATP2C1
chr12	102784645	102879423	IGF1
chr18	9470007	9543114	RALBP1
chr4	71564921	71678032	RUFY3
chr12	41081244	41471220	CNTN1
chr2	219241752	219266617	SLC11A1
chr3	149230022	149459501	WWTR1
chr2	178252372	178413564	AGPS
chr1	160080549	160118381	ATP1A2
chr2	32848099	33051118	TTC27
chr19	56882413	56909914	ZNF582
chr11	124612368	124627134	VSIG2
chr11	118472155	118533741	PHLDB1
chr2	119694742	119757236	MARCO
chr20	52764988	52795512	CYP24A1
chr11	45110564	45252734	PRDM11
chr11	45256852	45312870	SYT13
chr8	49825249	49839299	SNAI2
chr5	149776200	149797492	CD74
chr7	81323322	81404754	HGF
chr10	126625692	126681758	ZRANB1
chr1	36018074	36037875	NCDN
chr8	37636709	37707414	ADGRA2
chr20	50663202	50825847	ZFP64
chr14	61196460	61441671	MNAT1
chr14	55028815	55265033	SAMD4A
chr1	25221002	25296612	RUNX3
chr11	94147895	94232074	MRE11A
chr11	73352223	73378864	PLEKHB1
chr6	2827566	2847240	SERPINB1
chr7	99420636	99468718	CYP3A43
chr19	33316415	33365672	SLC7A9
chr2	32283680	32387706	SPAST
chr14	78703734	80335762	NRXN3
chr11	3103346	3192969	OSBPL5
chr15	35142732	35267040	AQR
chr2	211337406	211548831	CPS1
chr1	57389883	57436813	C8B
chr20	55038647	55098943	RTFDC1
chr5	161269197	161331975	GABRA1
chr19	55459498	55517510	NLRP2
chr8	142212265	142323404	SLC45A4
chr12	120966283	121020397	RNF10
chr14	102778714	102814044	ZNF839
chr10	114185058	114211672	ZDHHC6
chr11	123391344	123503482	GRAMD1B
chr11	489512	512300	RNH1
chr2	206974541	207029327	NDUFS1
chr8	53530016	53663403	RB1CC1
chr9	102736461	102866322	ERP44
chr3	52227102	52253343	ALAS1
chr11	102183215	102215134	BIRC3
chr13	42841289	42902396	AKAP11
chr1	193060598	193080244	GLRX2
chr14	62224075	62268146	SNAPC1
chr12	16059106	16195220	DERA
chr12	16030325	16061412	STRAP
chr10	101537489	101616949	ABCC2
chr6	35260595	35294548	DEF6
chr1	150116373	150141916	PLEKHO1
chr1	94345761	94379966	GCLM
chr6	42526800	42666242	UBR2
chr19	48211600	48251391	EHD2
chr1	68934835	68967904	DEPDC1
chr6	139089657	139119456	CCDC28A
chr6	90069355	90126989	RRAGD
chr6	122715691	122759264	HSF2
chr20	34354896	34543303	PHF20
chr12	57140945	57186574	HSD17B6
chr11	47264851	47295396	NR1H3
chr22	50959181	50973485	TYMP
chr22	50941645	50966901	NCAPH2
chr20	43565771	43594127	TOMM34
chr6	108183960	108284393	SEC63
chr1	32568639	32647169	KPNA6
chr10	17265258	17284592	VIM
chr10	90745414	90780542	FAS
chr6	167337992	167375679	RNASET2
chr11	35155417	35258949	CD44
chr20	49615193	49644666	KCNG1
chr6	161546011	161700093	AGPAT4
chr1	160704037	160729611	SLAMF7
chr6	26397465	26420444	BTN3A1
chr13	24299328	24468558	MIPEP
chr14	61649277	62022694	PRKCH
chr1	156804855	156833810	INSRR
chr6	137513621	137545586	IFNGR1
chr5	177022101	177042348	B4GALT7
chr1	156771035	156791654	SH2D2A
chr2	58129786	58392055	VRK2
chr1	12222060	12274285	TNFRSF1B
chr12	95606522	95701566	VEZT
chr19	42585263	42705737	POU2F2
chr5	845406	897939	BRD9
chr15	64381322	64443289	SNX1
chr6	134268308	134316570	TBPL1
chr12	27480787	27581241	ARNTL2
chr6	136573001	136615989	BCLAF1
chr14	69859732	69934105	SLC39A9
chr8	41505739	41759280	ANK1
chr4	88715733	88738074	IBSP
chr6	155573643	155640627	TFB1M
chr17	5180558	5294129	RABEP1
chr11	47794639	47875107	NUP160
chr6	33535329	33553019	BAK1
chr9	113426051	113568859	MUSK
chr2	213859429	214022151	IKZF2
chr17	42417614	42435470	GRN
chr5	137268649	137392650	FAM13B
chr3	119008220	119144561	ARHGAP31
chr6	49426091	49465820	CENPQ
chr1	109751540	109785791	SARS
chr19	5911150	5983153	RANBP3
chr14	58760103	58845605	ARID4A
chr2	3187696	3386653	TSSC1
chr19	7593890	7631650	PNPLA6
chr13	21135585	21270503	IFT88
chr16	5078703	5142380	ALG1
chr12	122952417	122990518	ZCCHC8
chr7	150899923	150929316	ABCF2
chr7	150924575	150940908	CHPF2
chr1	70029081	70622628	LRRC7
chr14	65872310	66215839	FUT8
chr4	68473370	68571897	UBA6
chr11	77921343	78134394	GAB2
chr17	40605862	40679629	ATP6V0A1
chr15	68341517	68488096	PIAS1
chr3	27409214	27530911	SLC4A7
chr15	29124629	29415518	APBA2
chr17	21182984	21223552	MAP2K3
chr8	49618348	49652870	EFCAB1
chr2	85127749	85138795	TMSB10
chr3	130727719	130751493	ASTE1
chr8	101264288	101353446	RNF19A
chr6	143766944	143816147	PEX3
chr16	75595249	75616779	GABARAPL2
chr1	171599557	171626823	MYOC
chr2	212730	271398	SH3YL1
chr2	70518107	70534222	FAM136A
chr10	75752872	75884918	VCL
chr5	59887739	60001017	DEPDC1B
chr15	64194235	64369232	DAPK2
chr8	59491063	59577403	NSMAF
chr1	244566796	244620436	ADSS
chr4	68419446	68478055	STAP1
chr17	76844059	76926469	TIMP2
chr4	39284076	39372995	RFC1
chr3	99974844	100049095	TBC1D23
chr2	225329867	225455110	CUL3
chr8	1988155	2118475	MYOM2
chr14	100145641	100198638	CYP46A1
chr1	78023101	78154104	ZZZ3
chr8	19997366	20045717	SLC18A1
chr11	119220925	119257436	USP2
chr3	121897530	122010342	CASR
chr17	40806323	40824024	TUBG2
chr5	172380732	172401774	RPL26L1
chr5	180023506	180081624	FLT4
chr5	6594352	6638404	NSUN2
chr1	16568334	16683949	FBXO42
chr5	153413466	153605038	MFAP3
chr19	13870346	13890096	MRI1
chr12	58157254	58171576	METTL1
chr12	54397832	54412570	HOXC8
chr4	178346924	178368657	AGA
chr4	25157263	25285714	PI4K2B
chr4	13565362	13634347	BOD1L1
chr5	162925120	162951342	MAT2B
chr4	166789410	167030047	TLL1
chr16	67901926	67923406	EDC4
chr5	14138811	14537235	TRIO
chr5	82762284	82883122	VCAN
chr16	11033345	11281046	CLEC16A
chr8	15960387	16429999	MSR1
chr16	68766128	68874451	CDH1
chr5	54598588	54726409	SKIV2L2
chr5	13685440	13949652	DNAH5
chr5	79698832	79780169	ZFYVE16
chr16	67547321	67585691	FAM65A
chr5	41137336	41266540	C6
chr5	34651342	34837732	RAI14
chr5	157047687	157103488	SOX30
chr19	50359461	50376166	PNKP
chr19	12857516	12874272	BEST2
chr16	71666738	71763604	PHLPP2
chr5	169005638	169036782	SPDL1
chr8	74327604	74664943	STAU2
chr1	19633820	19660794	PQLC2
chr17	3534762	3569836	CTNS
chr22	20223938	20275769	RTN4R
chr17	7133347	7148041	PHF23
chr5	24482209	24650087	CDH10
chr2	99056317	99215853	INPP4A
chr18	52380091	52567747	RAB27B
chr15	78827747	78846604	PSMA4
chr13	109243500	109865355	MYO16
chr3	194356517	194398206	LSG1
chr3	51971361	51987883	PARP3
chr9	117777806	117885536	TNC
chr1	6679926	6700646	THAP3
chr20	49197645	49313065	FAM65C
chr14	90416283	90516106	TDP1
chr10	71852979	71897690	AIFM2
chr2	228469806	228503036	C2orf83
chr14	88846268	88941694	SPATA7
chr11	93512393	93552861	MED17
chr2	85564211	85586743	RETSAT
chr2	85616871	85650555	CAPG
chr19	47336393	47359249	AP2S1
chr1	215791236	216601738	USH2A
chr7	49885017	50165925	ZPBP
chr8	133874203	134152147	TG
chr8	24146553	24221531	ADAM28
chr11	129240835	129327171	BARX2
chr3	182650862	182708741	DCUN1D1
chr5	133855003	133923918	JADE2
chr13	100629026	100644018	ZIC2
chr5	169668241	169730231	LCP2
chr1	40301723	40354183	TRIT1
chr10	115798806	115811667	ADRB1
chr1	42614092	42626495	GUCA2B
chr6	43000355	43026683	CUL7
chr5	137941656	138275723	CTNNA1
chr9	17129980	17508921	CNTLN
chr3	89151674	89536284	EPHA3
chr9	127992132	128008609	HSPA5
chr18	29073006	29133971	DSG2
chr8	68859353	69154265	PREX2
chr10	1090478	1183237	WDR37
chr5	112844380	112935982	YTHDC2
chr8	54623117	54761118	ATP6V1H
chr4	57838888	57902334	POLR2B
chr15	52868514	53007014	FAM214A
chr4	35944843	36251131	ARAP2
chr1	186275784	186349825	TPR
chr3	148875197	148944842	CP
chr16	27556454	27796690	KIAA0556
chr6	15518032	15668289	DTNBP1
chr12	5636035	6060398	ANO2
chr12	4591894	4652674	C12orf4
chr4	17625929	17788135	FAM184B
chr3	47887182	48135769	MAP4
chr6	117634374	117928691	GOPC
chr6	117604463	117752018	ROS1
chr11	113663596	113751292	USP28
chr7	18121572	19047039	HDAC9
chr5	176069388	176091058	TSPAN17
chr5	175805949	175820976	NOP16
chr4	15466489	15608180	CC2D2A
chr8	103211730	103256346	RRM2B
chr7	126981844	127076978	ZNF800
chr16	12053964	12066925	TNFRSF17
chr16	12065594	12673146	SNX29
chr12	16696307	16768528	LMO3
chr6	42169539	42190603	MRPS10
chr6	42118144	42152794	GUCA1A
chr11	77366041	77537063	RSF1
chr1	12285124	12577099	VPS13D
chr10	11042259	11383674	CELF2
chr9	96209004	96333397	FAM120A
chr2	136284025	136487840	R3HDM1
chr1	40761159	40788488	COL9A2
chr12	88881570	88979628	KITLG
chr5	60164658	60245900	ERCC8
chr5	64439563	64782747	ADAMTS6
chr1	9289834	9336396	H6PD
chr1	7826329	7846492	VAMP3
chr1	7839380	7910237	PER3
chr1	7898143	7918572	UTS2
chr1	7974907	8005926	TNFRSF9
chr17	48604904	48626111	EPN3
chr2	33167039	33629576	LTBP1
chr11	31828939	32132301	RCN1
chr7	73437119	73489237	ELN
chr7	73640829	73673774	RFC2
chr6	157094063	157536913	ARID1B
chr5	1312859	1350214	CLPTM1L
chr18	55706599	56073772	NEDD4L
chr5	73930848	74023472	HEXB
chr5	71611194	71661052	PTCD2
chr14	59946161	59977128	JKAMP
chr11	11979653	12036316	DKK3
chr7	144047381	144082725	ARHGEF5
chr7	26186860	26231745	NFE2L3
chr6	13781789	13819800	MCUR1
chr12	50564571	50682329	LIMA1
chr12	51436745	51459207	LETMD1
chr12	51780101	51907980	SLC4A8
chr9	133879469	133974860	LAMC3
chr1	71313036	71518491	PTGER3
chr4	122047563	122153621	TNIP3
chr5	179655143	179724099	MAPK9
chr5	177659619	178022556	COL23A1
chr16	75257928	75306951	BCAR1
chr11	6227565	6260941	FAM160A2
chr16	56960960	56982798	HERPUD1
chr19	19035010	19057070	HOMER3
chr15	40981972	41029354	RAD51
chr3	121145278	121269853	POLQ
chr3	138367860	138558780	PIK3CB
chr16	88704691	88722560	CYBA
chr5	175339876	175466683	THOC3
chr6	138719668	138748334	HEBP2
chr12	123631867	123733561	MPHOSPH9
chr12	19277648	19534334	PLEKHA5
chr16	31137756	31152083	PRSS8
chr1	115307100	115328306	SIKE1
chr10	99111115	99166127	RRP12
chr4	159685290	159834201	FNIP2
chr4	166243775	166269312	MSMO1
chr11	43375482	43521483	TTC17
chr11	44276994	44336716	ALX4
chr5	132527147	132953255	FSTL4
chr14	89586215	90090493	FOXN3
chr6	110562131	110684475	METTL24
chr1	19625459	19643640	AKR7A2
chr1	19573033	19591622	MRTO4
chr20	36144617	36157092	NNAT
chr19	17321155	17335638	USE1
chr3	182890831	183151566	MCF2L2
chr12	2929514	2949710	NRIP2
chr18	21264407	21540030	LAMA3
chr14	57730627	57761797	AP5M1
chr4	25373835	25425120	ANAPC4
chr11	2460914	2875339	KCNQ1
chr1	36597173	36620098	TRAPPC3
chr1	36685017	36775958	THRAP3
chr9	139738176	139750488	PHPT1
chr9	139937550	139953497	ENTPD2
chr2	160623362	160766260	LY75
chr1	235289949	235496534	ARID4B
chr1	241748404	241845678	OPN3
chr1	243414320	243668394	SDCCAG8
chr2	220149345	220179370	PTPRN
chr1	210496596	210854638	HHAT
chr1	10265863	10446661	KIF1B
chr6	1605681	1619127	FOXC1
chr22	47153518	47576336	TBC1D22A
chr14	64314683	64698165	SYNE2
chr14	67995018	68061329	PLEKHH1
chr20	50208053	50390173	ATP9A
chr20	55899815	55924050	SPO11
chr20	54567496	54585528	CBLN4
chr11	74402474	74447430	CHRDL2
chr11	73106532	73314234	FAM168A
chr11	73082309	73113519	RELT
chr14	88299164	88465009	GALC
chr2	203125439	203173389	NOP58
chr1	16674070	16729640	SZRD1
chr7	150637049	150680403	KCNH2
chr7	148390006	148503128	CUL1
chr5	153364688	153423496	FAM114A2
chr5	156688089	156827606	CYFIP2
chr6	149534777	149737749	TAB2
chr6	149882430	149917884	GINM1
chr2	37321353	37389208	EIF2AK2
chr17	76778463	76842523	USP36
chr7	151827010	152138090	KMT2C
chr1	85478765	85519182	MCOLN3
chr2	56406258	56618308	CCDC85A
chr2	20443452	20556995	PUM2
chr10	102724215	102752272	MRPL43
chr3	52841991	52870495	ITIH4
chr3	52806603	52831078	ITIH1
chr4	170645616	170684104	C4orf27
chr5	32349456	32449867	ZFR
chr4	72892521	73018784	NPFFR2
chr22	45272042	45410880	PHF21B
chr9	123659671	123696451	TRAF1
chr9	125601835	125672620	RC3H2
chr3	53875607	53904827	IL17RB
chr6	111872657	111932481	TRAF3IP2
chr3	98509785	98625533	DCBLD2
chr18	61317431	61334197	SERPINB3
chr1	179257925	179332815	SOAT1
chr12	32938679	33054774	PKP2
chr1	76257567	76383923	MSH4
chr13	113755105	113779995	F7
chr10	5802186	5889095	GDI2
chr6	106529195	106562814	PRDM1
chr6	106627351	106778666	ATG5
chr12	94955900	95049338	TMCC3
chr1	24099895	24119722	PITHD1
chr2	42716709	42989087	MTA3
chr3	179365543	179512189	USP13
chr3	182506288	182644423	ATP11B
chr1	183150373	183219035	LAMC2
chr7	90090738	90844905	CDK14
chr3	127765484	127795526	SEC61A1
chr12	80162343	80334240	PPP1R12A
chr15	79247289	79388115	RASGRF1
chr7	44251749	44379176	CAMK2B
chr1	17061768	17304474	CROCC
chr16	22303730	22351424	POLR3E
chr1	203590689	203718209	ATP2B4
chr1	203759782	203828252	ZC3H11A
chr5	96491571	96523964	RIOK2
chr1	54312392	54361407	YIPF1
chr1	54226133	54309533	NDC1
chr3	185818457	186085026	DGKG
chr16	2956938	3006209	FLYWCH1
chr16	1408206	1469752	UNKL
chr7	139471850	139725125	TBXAS1
chr7	139718544	139768521	PARP12
chr10	97360696	97421463	ALDH18A1
chr1	234522059	234619849	TARBP1
chr4	152586656	152687175	GATB
chr2	70119820	70175077	MXD1
chr12	96667039	96799338	CDK17
chr9	114388632	114437508	DNAJC25
chr12	8066826	8093871	SLC2A3
chr10	104157376	104186296	PSD
chr18	77434801	77519510	CTDP1
chr12	10846683	10880911	YBX3
chr12	10766538	10831917	STYK1
chr12	856759	1025618	WNK1
chr10	70475769	70557134	CCAR1
chr20	61431187	61450352	OGFR
chr19	3131191	3168767	GNA15
chr19	4148598	4178051	CREB3L3
chr1	27108963	27129889	PIGV
chr1	29558028	29658325	PTPRU
chr1	31727417	31774662	SNRNP40
chr12	130875682	131205826	RIMBP2
chr1	103337023	103579052	COL11A1
chr11	32909724	33019862	QSER1
chr6	166773407	166801486	MPC1
chr3	38139620	38183733	ACAA1
chr12	24959295	25107393	BCAT1
chr12	48171505	48231915	HDAC7
chr8	20098676	20166474	LZTS1
chr5	122419816	122534960	PRDM6
chr5	137414581	137433054	WNT8A
chr20	34198814	34213971	SPAG4
chr2	183768843	183908586	NCKAP1
chr12	27858706	27914228	MRPS35
chr4	156675144	156733743	GUCY1B3
chr12	132190626	132289282	SFSWAP
chr3	195585235	195643816	TNK2
chr12	62855597	62996363	MON2
chr16	68665092	68761519	CDH3
chr5	56464775	56565506	GPBP1
